"Measure ID","DATA ELEMENT NAME","CODING SYSTEM","CODE","MODIFIER","PLACE OF SERVICE",AGE,GENDER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PD,CPT_II,3044F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PD,CPT_II,3046F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PD,CPT_II,3046F,8P,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PD,CPT_II,3051F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PD,CPT_II,3052F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PN,CPT_II,3046F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PN,CPT_II,3046F,8P,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PN_X,CPT_II,3044F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PN_X,CPT_II,3051F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,CPT_II_PN_X,CPT_II,3052F,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.10,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.11,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.21,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.22,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.29,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.311,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.319,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
