Measure ID,DATA ELEMENT NAME,"CODING SYSTEM",CODE,MODIFIER,"PLACE OF SERVICE",AGE,GENDER
1,CPT_II_PD,CPT_II,3044F,,,18 - 75,"M, F"
1,CPT_II_PD,CPT_II,3051F,,,18 - 75,"M, F"
1,CPT_II_PD,CPT_II,3052F,,,18 - 75,"M, F"
1,CPT_II_PN_X,CPT_II,3044F,,,18 - 75,"M, F"
1,CPT_II_PN_X,CPT_II,3051F,,,18 - 75,"M, F"
1,CPT_II_PN_X,CPT_II,3052F,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.10,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.11,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.21,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.22,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.29,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.311,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.319,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3211,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3212,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3213,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3219,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3291,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3292,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3293,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3299,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3311,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3312,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3313,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3319,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3391,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3392,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3393,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3399,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3411,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3412,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3413,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3419,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3491,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3492,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3493,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3499,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3511,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3512,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3513,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3519,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3521,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3522,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3523,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3529,,,18 - 75,"M, F"
1,DX_CODE,I10,E10.3531,,,18 - 75,"M, F"
