MVP Title,MVP ID,MVP Description,Most Applicable Medical Specialties,Clinical Topic,MVP Reporting Category,Measure Id
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,001
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,047
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,134
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,236
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,305
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,321
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,438
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,475
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,483
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,487
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,493
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,497
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Quality,504
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_AHE_3
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_AHE_9
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_AHE_12
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_BE_4
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_BE_6
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_BE_12
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_CC_13
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_CC_2
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_PM_26
Value in Primary Care,M0005,"The Value in Primary Care MVP focuses on the clinical theme of promoting quality care for patients in order to reduce the risk of diseases, disabilities, and death. ",Preventive Medicine; Internal Medicine; Family Medicine;  Geriatrics,Preventive Care,Improvement,IA_MVP
