Category,Measure ID,Measure Title,Measure Description,Year Added,Year Removed,Weight,Subcategory Name
IA,IA_BE_7,,,,2023,,
IA,IA_BE_8,,,,2023,,
IA,IA_PM_7,,,,2023,,
IA,IA_PSPA_6,,,,2023,,
IA,IA_PSPA_20,,,,2023,,
IA,IA_PSPA_30,,,,2023,,
IA,IA_AHE_10,Adopt Certified Health Information Technology for Security Tags for Electronic Health Record Data,Use security labeling services available in certified health Information Technology (IT) for electronic health record (EHR) data to facilitate data segmentation.,2023,,medium,Achieving Health Equity
IA,IA_AHE_11,"Create and Implement a Plan to Improve Care for Lesbian, Gay, Bisexual, Transgender, and Queer Patients","Create and implement a plan to improve care for lesbian, gay, bisexual, transgender, and queer (LGBTQ+) patients by understanding and addressing health disparities for this population. The plan may include an analysis of sexual orientation and gender identity (SO/GI) data to identify disparities in care for LGBTQ+ patients. Actions to implement this activity may also include identifying focused goals for addressing disparities in care, collecting and using patients’ pronouns and chosen names, training clinicians and staff on SO/GI terminology (including as supported by certified health IT and the Office of the National Coordinator for Health Information Technology 2 US Core Data for Interoperability [USCDI]), identifying risk factors or behaviors specific to LGBTQ+ individuals, communicating SO/GI data security and privacy practices with patients, and/or utilizing anatomical inventories when documenting patient health histories.",2023,,high,Achieving Health Equity
IA,IA_EPA_6,Create and Implement a Language Access Plan ,Create and implement a language access plan to address communication barriers for individuals with limited English proficiency. The language access plan must align with standards for communication and language assistance defined in the National Standards for Culturally and Linguistically Appropriate Services (CLAS) in Health and Health Care (https://thinkculturalhealth.hhs.gov/clas).,2023,,high,Expanded Practice Access
IA,IA_ERP_6,COVID-19 Vaccine Achievement for Practice Staff,Demonstrate that the MIPS eligible clinician’s practice has maintained or achieved a rate of 100% of office staff in the MIPS eligible clinician’s practice fully COVID-19 vaccinated according to the Center for Disease Control and Prevention’s definition of fully vaccinated (https://www.cdc.gov/coronavirus/2019-ncov/vaccines/stay-up-to-date.html).  Please note that those who are determined to have a medical contraindication specified by CDC recommendations are excluded from this activity.,2023,,medium,Emergency Response And Preparedness
IA,IA_CC_13,Practice Improvements to Align with OpenNotes Principles,Adherence to the principles described in the OpenNotes initiative (https://www.opennotes.org) to ensure that patients have full access to their patient information to guide patient care.,,,,
