Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted 
"Values:  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values:  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values: Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values: Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values: Y, N","Values: singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values: weightedAverage, simpleAverage, overallStratumOnly","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values:  Y, N"
Quality,Psoriasis- Improvement in Patient-Reported Itch Severity,,,,485,American Academy of Dermatology,,"The percentage of patients, aged 18 years and older, with a diagnosis of psoriasis where at an initial (index) visit have a patient reported itch severity assessment performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.",Patient-Reported Outcome-Based Performance Measure,Y,2023,,MIPS CQM,"Dermatology
",N,singlePerformanceRate,,,,,N
Quality,Dermatitis – Improvement in Patient-Reported Itch Severity,,,,486,American Academy of Dermatology,,"The percentage of patients, aged 18 years and older, with a diagnosis of dermatitis where at an initial (index) visit have a patient reported itch severity assessment performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.",Patient-Reported Outcome-Based Performance Measure,Y,2023,,MIPS CQM,"Dermatology
",N,singlePerformanceRate,,,,,N
Quality,Screening for Social Drivers of Health ,,,,487,Physicians Foundation,,"Percent of patients 18 years and older screened for food insecurity, housing instability, transportation needs, utility difficulties, and interpersonal safety.",Process,Y,2023,,MIPS CQM,"Allergy/ Immunology, Audiology, Cardiology, Chiropractic Medicine,Clinical Social Work,Dentistry,Dermatology,Diagnostic Radiology,Electro-physiology Cardiac Specialist,Emergency Medicine,Endocrinology,Family Medicine,Gastro-enterology,General Surgery,Geriatrics,Hospitalists,Infectious Disease,Internal Medicine,Interventional Radiology,Mental/Behavioral Health/Psychiatry,Nephrology,Neurology,Neurosurgical,Nutrition/Dietician,Obstetrics/Gynecology,Oncology/Hematology,Ophthalmology/Optometry,Orthopedic Surgery,Otolaryngology,Pediatrics,Physical Medicine,Physical Therapy/Occupational Therapy,Plastic Surgery,Podiatry,Preventive Medicine,Pulmonology,Radiation Oncology,Rheumatology,Skilled Nursing Facility,Speech Language Pathology,Thoracic Surgery,Urgent Care,Urology,Vascular Surgery",N,singlePerformanceRate,,,,,N
Quality,Kidney Health Evaluation,CMS951v1,,,488,National Kidney Foundation,,Percentage of patients aged 18-75 years with a diagnosis of diabetes who received a kidney health evaluation defined by an Estimated Glomerular Filtration Rate (eGFR) AND Urine Albumin-Creatinine Ratio (uACR) within the measurement period.,Process,N,2023,,"MIPS CQM, eCQM","Endocrinology,Family Medicine,Geriatrics,Internal Medicine,Nephrology,Preventive Medicine,Urology",N,singlePerformanceRate,,,,,N
Quality,Adult Kidney Disease: Angiotensin Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy,,,,489,Renal Physicians Association ,,"Percentage of patients aged 18 years and older with a diagnosis of chronic kidney disease (CKD) (Stages 1-5, not receiving Renal Replacement Therapy (RRT)) and proteinuria who were prescribed ACE inhibitor or ARB therapy within a 12-month period.",Process,N,2023,,MIPS CQM,"Geriatrics,Nephrology
",N,singlePerformanceRate,,,,,N
Quality,Appropriate Intervention of Immune-Related Diarrhea and/or Colitis in Patients Treated with Immune Checkpoint Inhibitors,,,,490,Society for Immunotherapy of Cancer (SITC),,"Percentage of patients, aged 18 years and older, with a diagnosis of cancer, on immune checkpoint inhibitor therapy, and grade 2 or above diarrhea and/or grade 2 or above colitis, who have immune checkpoint inhibitor therapy held and corticosteroids or immunosuppressants prescribed or administered.",Process,N,2023,,MIPS CQM,"Oncology/ Hematology
",N,singlePerformanceRate,,,,,N
Quality,"Mismatch Repair (MMR) or Microsatellite Instability (MSI) Biomarker Testing Status in Colorectal Carcinoma, Endometrial, Gastroesophageal, or Small Bowel Carcinoma",,,,491,College of American Pathologists,,"Percentage of surgical pathology reports for primary colorectal, endometrial, gastroesophageal or small bowel carcinoma, biopsy or resection, that contain impression or conclusion of or recommendation for testing of mismatch repair (MMR) by immunohistochemistry (biomarkers MLH1, MSH2, MSH6, and PMS2), or microsatellite instability (MSI) by DNA-based testing status, or both.",Process,Y,2023,,MIPS CQM,"Pathology
",N,singlePerformanceRate,,,,,N
Quality,Risk-Standardized Acute Cardiovascular-Related Hospital Admission Rates for Patients with Heart Failure under the Merit-based Incentive Payment System,,,,492,Centers for Medicare & Medicaid Services,,"Annual risk-standardized rate of acute, unplanned cardiovascular-related admissions among Medicare Fee-for-Service (FFS) patients aged 65 years and older with heart failure (HF) or cardiomyopathy.",Outcome,Y,2023,,Admin Claims,,N,singlePerformanceRate,,,,,Y
Quality,Adult Immunization Status,,,,493,National Committee for Quality Assurance,,"Percentage of patients 19 years of age and older who are up-to-date on recommended routine vaccines for influenza; tetanus and diphtheria (Td) or tetanus, diphtheria and acellular pertussis (Tdap); zoster; and pneumococcal.",Process,N,2023,,MIPS CQM,"Allergy/ Immunology,Cardiology,Endocrinology,Family Medicine,Geriatrics,Infectious Disease,Internal Medicine,Nephrology,Obstetrics/Gynecology,Oncology/ Hematology,Otolaryngology,Preventive Medicine,Pulmonology,Rheumatology,Skilled Nursing Facility",N,multiPerformanceRate,weightedAverage,,,,N
