Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted ,
"Values,  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values,  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values, Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values,  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values, Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values, Y, N","Values, singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values, weightedAverage, simpleAverage, overallStratumOnly, split","** Comma delimited list  **

Values,  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values,  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values,  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values,  Y, N",
QCDR,,,,,AAAAI17,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAAAI18,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAAAI2,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAAAI8,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAD11,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAD15,,,Percentage of patients with a diagnosis of psoriasis awith a documented Body Surface Area (BSA) greater than 10% for whom phototherapy or an oral systemic or biologic medication was prescribed.,,,,,,,,,,,,,,
QCDR,,,,,AAD16,,,"Percentage of procedures in patients aged 18 and older with a diagnosis of skin cancer who underwent intermediate layer or complex linear closure or reconstruction after skin cancer resection in the office-based* setting who were prescribed post-operative systemic antibiotics to be taken immediately following reconstruction surgery (inverse measure).

This measure is stratified by intermediate layer or complex linear closure or reconstructive procedures.",,,,,,,,,,,,,,
QCDR,Psoriasis – Shared Decision Making in the Treatment of Psoriasis,,,,AAD19,AAD’s DataDerm™,4649789,"Percentage of patients with a diagnosis of psoriasis with a documented shared decision-making discussion that includes the patient’s treatment goals, preferences, and the risks & benefits of treatment options.",Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,AAN26,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAN29,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AAN30,,,,,,,2024,,,,,,,,,,
QCDR,Reduction of Pain for Patients with Polyneuropathy,,,,AAN35,Axon Registry,8933551,Percentage of patients 18 years and older diagnosed with polyneuropathy with associated neuropathic pain in the feet whose Visual Analog Scale (VAS) or Numeric Pain Rating Scale (NRS) pain score for patient’s feet at 12 months (+/- 60 days) was improved from the index score,Patient-Reported Outcome-Based Performance Measure,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,"Seizure Type, Frequency, Time Since Last Seizure Recorded, and Seizure Reduction",,,,AAN36,Axon Registry,8933551,"Percentage of patients or care partners who reported seizure type, seizure frequency for each type of seizure, time since last seizure for each seizure type at every visit in the measurement period recorded, AND, the same or decreased seizure frequency in the most recent 12 months compared to the prior 12 months (baseline).",Patient-Reported Outcome-Based Performance Measure,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Treatment Prescribed For Acute Migraine Attacks,,,,AAN5,,,,,,,,,,,,,,,,,
QCDR,,,,,AAO34,,,,,,,2024,,,,,,,,,,
QCDR,Dysphonia: Laryngeal Examination,,,,AAO37,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,Percentage of patients who were diagnosed with dysphonia who received or were referred for a laryngeal examination within 4 weeks of initial diagnosis.,Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Thyroidectomy and Parathyroidectomy Nerve Injury,,,,AAO38,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,"Percentage of patients that had a thyroidectomy, parathyroidectomy, or both, and experienced recurrent laryngeal nerve injury resulting in vocal cord paresis or palsy.",Outcome,Y,2024,,QCDR,,Y,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Neck Mass Evaluation,,,,AAO39,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,"Percentage of patients aged 18 years and older diagnosed with a neck mass and suspected/increased risk of malignancy who had a fine needle aspiration (FNA), or refer the patient to someone who can perform FNA with tumor human papillomavirus (HPV) test and receive a neck computed tomography (or magnetic resonance imaging) with contrast.",Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,AASM1,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AASM2,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AASM3,,,,,,,2024,,,,,,,,,,
QCDR,Measuring the Value-Functions of Primary Care: Comprehensiveness of Care,,,,ABFM13,ABFM PRIME,4849508,"This measure evaluates the extent primary care physicians (PCPs) provide care-based and procedural-based services core to primary care. For each PCP, the resulting value reflects an average of the weighted proportion of services within each category provided during the measurement period.      
Primary care providers (PCPs) caring for at least 30 patients per measurement year score between 0 and 100 in scaled scores of comprehensiveness. Scores are based on weighted averages of 19 care-based and 22 procedural-based core primary care services.

Initial Population: Primary care physicians who have provided care to 30 or more patients regardless of age within the measurement period, see Figure 1: Physician and Care Site Identifier in the ""Additional Supporting Documentation"" Section. 

Throughout this application, since the fields do not accept scientific formulas, tables or figures, we have attached those items in the ""Additional Supporting Documentation"" section.",Process,N,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,ABG40,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ABG41,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ABG42,,"5551268 ,6775913, 9181695, 7418330, 7746687",,,,,,,,,,,,,,,
QCDR,,,,,ABG43,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ABG44,,"5551268, 6169123, 6775913, 9181695, 7418330",,,,,,,,,,,,,,,
QCDR,,,,,ACEP19,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACEP21,,,,,,,2024,,,,,,,,,,
QCDR,Sepsis Management: Septic Shock: Lactate Clearance Rate of >=10%,,,,ACEP30,,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP48,,,"Percentage of emergency department visits resulting in hospital admission or transfers for patients aged 18 years and older with septic shock who had an order for all the following during the emergency department visit: a serum lactate level, antibiotics, and >=1L of crystalloids",,,,,,,,,,,,,,
QCDR,,,,,ACEP50,,5133825,,,,,,,,,,,,,,,
QCDR,,,,,ACEP52,,"5133825, 1718371",,,,,,,,,,,,,,,
QCDR,,,,,ACEP54,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACEP55,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACEP59,,"5133825, 4757099, 1725296, 1718371",,,,,,,,,,,,,,,
QCDR,,,,,ACEP60,,"5133825, 1718371, 1725296",,,,,,,,,,,,,,,
QCDR,,,,,ACEP63,,"5133825, 1725296",,,,,,,,,,,,,,,
QCDR,Avoidance of admission for adult patients in Emergency Department with low-risk Deep Vein Thrombosis (DVT).,,,,ACEP64,ACEP's Clinical Emergency Data Registry (CEDR),"5133825, 1718371, 1725296",Percentage of patients 18 years and older who present to the Emergency Department with low-risk Deep Vein Thrombosis (DVT) and are discharged home,Outcome,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Appropriate Utilization of Imaging in rAAA (ruptured Abdominal Aortic Aneurysm) patients in Emergency Department,,,,ACEP65,ACEP's Clinical Emergency Data Registry (CEDR),5133825,Percentage of adult patients aged 55 years and older presenting to the Emergency Department with abdominal pain or back pain and hypotension for whom a POC Ultrasound or CT scan was performed.,Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,"Co-testing for HIV in high-risk patients in Emergency Department who are being tested for other sexually transmitted infections (STI) (Gonorrhea, Chlamydia, Syphilis or Trichomonas).",,,,ACEP66,ACEP's Clinical Emergency Data Registry (CEDR),5133825,"Percentage of patients aged 18 and older in the Emergency Department who are being tested for other sexually transmitted infections (STI) (Gonorrhea, Chlamydia, Syphilis or Trichomonas) are also tested for HIV.",Process,N,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,ACQR12,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACQR13,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACQR16,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACQR3,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACR12,,"3471690, 5598408, 3967247",,,,,,,,,,,,,,,
QCDR,,,,,ACR14,,"3471690, 5598408, 3967247",,,,,,,,,,,,,,,
QCDR,,,,,ACR15,,"3471690, 5598408, 3967247","If a patient is using hydroxychloroquine, then the average daily dose should be less than or equal to 5 mg/kg.",,,,,,,,,,,,,,
QCDR,,,,,ACRAD15,,"5303416, 6704504, 6394618, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD16,,"5303416, 6704504, 6394618, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD17,,"5303416, 6704504, 6394618, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD18,,"5303416, 6704504, 6394618, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD19,,"5303416, 6704504, 6394618, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD25,,"5303416, 6704504, 6394618, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD34,,5303416,"Weighted average of 3 former QCDR measures, ACRad 31, ACRad 32, ACRad 33.",,,,,,,,,,,,,,
QCDR,,,,,ACRAD36,,"5303416, 6394618, 7746687, 6704504, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD37,,"5303416, 6704504, 7037323, 6394618, 7746687 ",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD38,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACRAD40,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ACRAD41,,"5303416, 6394618, 6704504, 7037323",,,,,,,,,,,,,,,
QCDR,,,,,ACRAD42,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AJRR11,,"5224253, 1157686",,,,,,,,,,,,,,,
QCDR,Physical Health Outcomes in Total Hip and Knee Arthroplasty,,,,AJRR12,AAOS Orthopaedic Quality Resource Center,"5224253, 1157686",Percentage of patients with patient-reported meaningful improvement in anatomic specific HOOS/KOOS JR after elective total hip and knee arthroplasty.,Patient-Reported Outcome-Based Performance Measure,Y,2024,,QCDR,,N,multiPerformanceRate,weightedAverage,,,,N,
QCDR,,,,,AJRR8,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AJRR9,,"5224253, 1157686",,,,,,,,,,,,,,,
QCDR,,,,,AQI18,,"5551268, 6169123, 6775913, 7418330, 6704504, 4757099",,,,,,,,,,,,,,,
QCDR,,,,,AQI48,,"5551268, 3471690, 6169123, 6775913, 6704504, 9181695, 4757099, 7418330, 3967247","Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care and who reported a positive experience. 

This measure will consist of two performance rates:

AQI48a: Percentage of patients, aged 18 and older, who were surveyed on their patient experience and satisfaction with anesthesia care 

AQI48b: Percentage of patients, aged 18 and older, who completed a survey on their patient experience and satisfaction with anesthesia care who report a positive experience with anesthesia care within 60 days of receipt of the survey.

NOTE: The measure requires that a valid survey, as defined in the numerator of AQI48a, be sent to patients between discharge from the facility and within 30 days of facility discharge. To report AQI48b, a minimum number of 20 surveys with the mandatory question completed must be reported. ** In order to be scored on this measure, clinicians must report BOTH AQI48a AND AQI48b.",,,,,,,,,,,,,,
QCDR,,,,,AQI49,,"5551268, 6169123, 7418330, 6775913, 4757099, 7746687",,,,,,,,,,,,,,,
QCDR,,,,,AQI56,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AQI65,,"5551268, 6169123, 6775913, 7418330, 4757099",,,,,,,,,,,,,,,
QCDR,,,,,AQI67,,"5551268, 6169123, 6775913, 6704504, 9181695, 4757099",,,,,,,,,,,,,,,
QCDR,,,,,AQI68,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AQI69,,,,,,,2024,,,,,,,,,,
QCDR,,,,,AQI71,,"5551268, 6169123, 6775913, 7418330, 9181695, 4757099",,,,,,,,,,,,,,,
QCDR,,,,,AQI72,,"5551268, 6169123, 6775913, 6704504, 9181695, 4757099, 7418330",,,,,,,,,,,,,,,
QCDR,,,,,AQI73,,,,,,,2024,,,,,,,,,,
QCDR,Stones: Urinalysis or Urine Culture Performed Before Surgical Stone Procedures,,,,AQUA15,,,Percentage of patients with a documented urinalysis or urine culture within 14 days prior to surgical stone procedures,,,,,,,,,,,,,,
QCDR,,,,,AQUA18,,,,,,,2024,,,,,,,,,,
QCDR,Non-Muscle Invasive Bladder Cancer: Initial Management/Surveillance for Non-Muscle Invasive Bladder Cancer,,,,AQUA35,American Urological Association Quality (AQUA) Registry,8758330,Percentage of patients with appropriate initial management/surveillance after initial diagnosis of non-muscle invasive bladder cancer,Process,N,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Prostate Cancer: Confirmation Biopsy in Newly Diagnosed Patients on Active Surveillance,,,,AQUA36,American Urological Association Quality (AQUA) Registry,8758330,Percentage of newly diagnosed low risk patients on active surveillance who receive confirmation testing within 24 months of diagnosis,Process,N,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Biopsy Reporting Time to Clinician,,,,CAP22,,,,,,,,,,,,,,,,,
QCDR,Gastritis: Timely Helicobacter pylori Reporting,,,,CAP28,,,"Percentage of stomach biopsy cases with gastritis that address the presence or absence of Helicobacter pylori 
AND
meet the maximum 2 business day turnaround time (TAT) requirement (Report Date – Accession Date is less than or equal to 2 business days).
INSTRUCTIONS: This measure has two performance rates that contribute to the overall performance score:
Stratum 1. Percent of cases in which presence or absence of Helicobacter pylori is addressed.
Stratum 2. Percent of cases that meet the maximum 2 business day turnaround time.
The overall performance score submitted is a simple average of Stratum 1 and Stratum 2.",,,,,,,,,,,,,,
QCDR,Urinary Bladder Cancer: Complete Analysis and Timely Reporting,,,,CAP30,,,,,,,,,,,,,,,,,
QCDR,Molecular Assessment: Biomarkers in Non-Small Cell Lung Cancer,,,,CAP34,,,,,,,,,,,,,,,,,
QCDR,Prostate Cancer Reporting: Complete Analysis,,,,CAP38,,,,,,,,,,,,,,,,,
QCDR,,,,,CAP39,,,,,,,2024,,,,,,,,,,
QCDR,Squamous Cell Skin Cancer: Complete Reporting,,,,CAP40,Pathologists Quality Registry,5688621,"Percentage of final pathology reports for excisions for squamous cell carcinoma of the skin that include a comment on margin status, degree of differentiation/histologic grade, depth or level of invasion, presence of perineural invasion and presence of lymphovascular invasion",Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Basal Cell Skin Cancer: Complete Reporting,,,,CAP41,Pathologists Quality Registry,5688621,"Percentage of final pathology reports for excisions for basal cell carcinoma of the skin that include a comment on histologic subtype, margin status, and if applicable to the specimen - invasion of tumor beyond reticular dermis (or level of invasion, for Moh’s specimens), and perineural invasion",Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,Barrett’s Esophagus: Complete Analysis with Appropriate Consultation,,,,CAP42,Pathologists Quality Registry,5688621,Percentage of esophageal biopsy reports for with a diagnosis of Barrett’s mucosa with dysplasia that include documentation of a consultation with a second pathologist for confirmation of dysplasia grading,Process,Y,2024,,QCDR,,N,singlePerformanceRate,overallStratumOnly,,,,N,
QCDR,,,,,CCOME7,,,,,,,2024,,,,,,,,,,
QCDR,,,,,CCOME8,,,,,,,2024,,,,,,,,,,
QCDR,,,,,CDR2,,,,,,,2024,,,,,,,,,,
QCDR,,,,,CDR6,,,,,,,2024,,,,,,,,,,
QCDR,,,,,CDR8,,,,,,,2024,,,,,,,,,,
QCDR,,,,,ECPR46,,"5133825, 3471690, 1718371, 4757099, 1725296, 3967247",,,,,,,,,,,,,,,
QCDR,,,,,ECPR50,,"1718371, 4757099, 1725296",,,,,,,,,,,,,,,
QCDR,,,,,ECPR52,,"1718371, 4757099, 1725296",,,,,,,,,,,,,,,
QCDR,,,,,ECPR55,,"1718371, 4757099, 1725296",,,,,,,,,,,,,,,
QCDR,Patient-Reported Understanding of Discharge Diagnosis and Plan of Care,,,,ECPR58,,"1718371, 8483899, 1725296",Percentage of Adult Patients Who Completed a Survey Regarding Their Care Visit Who Reported Understanding of Their Discharge Diagnosis and Plan of Care,,,,,,,,,,,,,,
