Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation and Long-Acting Inhaled Bronchodilator Therapy,,,,052,,,,,,,,,,,,,,,,,,
Quality,Primary Caries Prevention Intervention as Offered by Dentists,,,,379,,,,,,,,,,,,,,,,,,
Quality,,,,,457,,,,Process,,,,,,,,,,,,,,
Quality,,,,,024,,,"Percentage of patients aged 50 years and older treated for a fracture with documentation of communication, between the physician treating the fracture and the physician or other clinician managing the patient’s on-going care, that a fracture occurred and that the patient was or should be considered for osteoporosis treatment or testing. This measure is submitted by the physician who treats the fracture and who therefore is held accountable for the communication.",,,,,,,,,,,,,,,
Quality,,,,,355,,,Percentage of patients aged 18 years and older who had any unplanned reoperation within the 30-day postoperative period.,,,,,,,,,,,,,,,
Quality,,,,,394,,,"The percentage of adolescents 13 years of age who had one dose of meningococcal vaccine (serogroups A, C, W, Y), one tetanus, diphtheria toxoids and acellular pertussis (Tdap) vaccine, and have completed the Human Papillomavirus (HPV) vaccine series by their 13th birthday.",,,,,,,,,,,,,,,
Quality,,,,,401,,,"Percentage of patients aged 18 years and older with a diagnosis of chronic Hepatitis C cirrhosis who underwent imaging with either ultrasound, contrast enhanced CT or MRI for hepatocellular carcinoma (HCC) at least once within the 12-month submission period.",,,,,,,,,,,,,,,
Quality,,,,,424,,,"Percentage of patients, regardless of age, who undergo surgical or therapeutic procedures under general or neuraxial anesthesia of 60 minutes duration or longer for whom at least one body temperature greater than or equal to 35.5 degrees Celsius (or 95.9 degrees Fahrenheit) was achieved within the 30 minutes immediately before or 15 minutes immediately after anesthesia end time.",,,,,,,,,,,,,,,
Quality,,,,,440,,,"Percentage of biopsies with a diagnosis of cutaneous basal cell carcinoma (BCC) and squamous cell carcinoma (SCC), or melanoma (including in situ disease) in which the pathologist communicates results to the clinician within 7 days from the time when the tissue specimen was received by the pathologist.",,,,,,,,,,,,,,,
Quality,,,,,462,,,"Percentage of patients determined as having prostate cancer who are currently starting or undergoing androgen deprivation therapy (ADT), for an anticipated period of 12 months or greater and who receive an initial bone density evaluation. The bone density evaluation must be prior to the start of ADT or within 3 months of the start of ADT.",,,,,,,,,,,,,,,
Quality,,,,,479,,,"The Hospital-wide, 30-Day, All-cause Unplanned Readmission (HWR) rate for the Merit-based Incentive Payment System (MIPS) Groups measure is a risk-standardized readmission rate for Medicare Fee-for-Service (FFS) beneficiaries aged 65 or older who were hospitalized and experienced an unplanned readmission for any cause to a short-stay acute-care hospital within 30 days of discharge. The measure attributes readmissions to MIPS participating clinicians and/or clinician groups, as identified by their National Provider Identifiers (NPIs) and Taxpayer Identification Number (TIN) and assesses each clinician’s or clinician group’s readmission rate.",,,,,,,,,,,,,,,
Quality,,,,,480,,,"The Risk-standardized Complication Rate (RSCR) following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA) for the Merit-based Incentive Payment System (MIPS) measure is a risk-standardized complication rate for Medicare Fee-for-Service (FFS) beneficiaries aged 65 or older who experienced complications after an inpatient elective primary THA and/or TKA procedure, defined as complications occurring from the date of index admission to 90 days post discharge. The measure attributes complications to MIPS participating clinicians and/or clinician groups, as identified by their National Provider Identifiers (NPIs) and Taxpayer Information Numbers (TINs) and assesses each clinician’s or clinician group’s complication rate.",,,,,,,,,,,,,,,
Quality,,,,,481,,,"The measure is a risk-standardized rate of acute, unplanned hospital admissions for the Merit-based Incentive Payment System (MIPS) among Medicare Fee-for-Service (FFS) patients aged 65 years and older with multiple chronic conditions (MCCs); i.e., two or more of nine qualifying chronic conditions. The measure is adjusted for age, chronic condition categories, and other clinical and frailty risk factors present at the start of the 12-month measurement period as well as social risk factors. The measure attributes admissions to MIPS participating clinicians and/or clinician groups, as identified by their National Provider Identifiers (NPIs) and/or Taxpayer Identification Number (TIN) and assesses each clinician’s or clinician group’s admission rate.",,,,,,,,,,,,,,,
Quality,,,,,484,,,"The measure is a risk-standardized rate of acute, unplanned cardiovascular-related acute hospital admissions for the Merit-based Incentive Payment System (MIPS) among Medicare Fee-for-Service (FFS) patients aged 65 years and older with heart failure (HF) or cardiomyopathy. The measure attributes admissions to MIPS clinician groups and assesses each clinician group’s admission rate.",,,,,,,,,,,,,,,
Quality,,,,,502,,,The percentage of patients aged 18 and older with a mental and/or substance use disorder who demonstrated improvement or maintenance of functioning based on results from the 12-item World Health Organization Disability Assessment Schedule (WHODAS 2.0) or Sheehan Disability Scale (SDS) 30 to 180 days after an index assessment.,,,,,,,,,,,,,,,
Quality,,,,2483,503,,,,,,,,,,,,,,,,,,
Quality,,,,,259,Society for Vascular Surgery,,,,,,,,,,,,,,,,,
Quality,,,,,344,Society for Vascular Surgery,,,,,,,,,,,,,,,,,
Quality,,,,,443,Centers for Medicare & Medicaid Services,,,,,,,,,,,,,,,,,
