Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,,,,,005,,,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) ≤ 40% who were prescribed ACE inhibitor or ARB or ARNI therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge.,,,,,,,,,,,,,,,
Quality,,,,,321,,,"The Consumer Assessment of Healthcare Providers and Systems (CAHPS) for MIPS Clinician/Group Survey is comprised of 10 Summary Survey Measures (SSMs) and measures patient experience of care within a group practice. The CBE endorsement status and endorsement id (if applicable) for each SSM utilized in this measure are as follows:                                                                                                                                                                                                                                                                                         
• Getting Timely Care, Appointments, and Information; (Not endorsed by CBE)
• How well Providers Communicate; (Not endorsed by CBE)
• Patient’s Rating of Provider; (CBE endorsed # 0005)
• Access to Specialists; (Not endorsed by CBE)
• Health Promotion and Education; (Not endorsed by CBE)
• Shared Decision-Making; (Not endorsed by CBE) 
• Health Status and Functional Status; (Not endorsed by CBE)
• Courteous and Helpful Office Staff; (CBE endorsed # 0005)
• Care Coordination; (Not endorsed by CBE)
• Stewardship of Patient Resources. (Not endorsed by CBE)",,,,,,,,,,,,,,,
Quality,,,,,340,,,"Percentage of patients, regardless of age, with a diagnosis of Human Immunodeficiency Virus (HIV) before or during the first 240 days of the performance period who had at least two eligible encounters or at least one eligible encounter and one HIV viral load test that were at least 90 days apart within the performance period.",,,,,,,,,,,,,,,
Quality,,,,,378,,,"Percentage of children, 1 - 20 years of age at the start of the measurement period, who have had tooth decay or cavities during the measurement period as determined by a dentist.",,,,,,,,,,,,,,,
Quality,,,,,382,,,Percentage of patient visits for those patients aged 6 through 16 years at the start of the measurement period  with a diagnosis of major depressive disorder (MDD) with an assessment for suicide risk.,,,,,,,,,,,,,,,
Quality,,,,,386,,,"Percentage of patients diagnosed with Amyotrophic Lateral Sclerosis (ALS) who were offered assistance in planning for end of life issues (e.g., advance directives, invasive ventilation, lawful physician-hastened death, or hospice) or whose existing end of life plan was reviewed or updated at least once annually or more frequency as clinically indicated (i.e., rapid progression).",,,,,,,,,,,,,,,
Quality,,,,,481,,,Percentage of patients initially diagnosed with non-muscle invasive bladder cancer and who received intravesical Bacillus-Calmette-Guerin (BCG) within 6 months of bladder cancer staging.,,,,,,,,,,,,,,,
Quality,,,,,484,,,"The measure is a risk-standardized rate of acute, unplanned hospital admissions for the Merit-based Incentive Payment System (MIPS) among Medicare Fee-for-Service (FFS) patients aged 65 years and older with multiple chronic conditions (MCCs); i.e., two or more of nine qualifying chronic conditions. The measure is adjusted for age, chronic condition categories, and other clinical and frailty risk factors present at the start of the 12-month measurement period as well as social risk factors. The measure attributes admissions to MIPS participating clinicians and/or clinician groups, as identified by their National Provider Identifiers (NPIs) and/or Taxpayer Identification Number (TIN) and assesses each clinician’s or clinician group’s admission rate.",,,,,,,,,,,,,,,
Quality,,,,,492,,,"The measure is a risk-standardized rate of acute, unplanned cardiovascular-related acute hospital admissions for the Merit-based Incentive Payment System (MIPS) among Medicare Fee-for-Service (FFS) patients aged 65 years and older with heart failure (HF) or cardiomyopathy. The measure attributes admissions to MIPS clinician groups and assesses each clinician group’s admission rate.",,,,,,,,,,,,,,,
Quality,,,,,504,,,"Percentage of patients aged 12 years and older with suicidal ideation or behavior symptoms (based on results of a standardized assessment tool or screening tool) or increased suicide risk (based on the clinician's evaluation or clinician-rating tool) for whom a suicide safety plan is initiated, reviewed, and/or updated in collaboration between the patient and their clinician.",,,,,,,,,,,,,,,
Quality,,,,,510,,,"The number of newly initiated patients on dialysis in a practitioner group who are under the age of 75 and were either listed on the kidney or kidney-pancreas transplant waitlist or received a living donor transplant within the first year of initiating dialysis. The practitioner group is inclusive of physicians and advanced practice providers. The measure is the ratio-observed number of waitlist events in a practitioner group to its expected number of waitlist events. The measure uses the expected waitlist events calculated from a Cox model, which is adjusted for age, patient comorbidities, and other risk factors at the time of dialysis.",,,,,,,,,,,,,,,
Quality,,,,,110,,,,,,,2025,,,,,,,,,,,
Quality,,,,,510,,,,,,,,,,,multiPerformanceRate,split,,,,,,
