Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,Continuation of Methadone Therapy during the Perioperative Period for Surgical Patients,,,,AQI74,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 6775913, 9181695","Percentage of patients, 13 years and older, undergoing an inpatient or ambulatory surgical procedure who are taking methadone as outpatients or who have a prescription for methadone in their admittance documentation and where methadone is either continued or changed to an equivalent IV dose to maintain the therapeutic level regimen during the perioperative period.  For patients receiving care in an ambulatory surgical setting, methadone medication was provided as scheduled before surgery.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Neuromuscular Blockade and Quantitative Train-of-Four,,,,AQI79,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 6775913, 9181695","The percentage of patients, 18 years and older, who undergo a procedure utilizing non-depolarizing neuromuscular blockade (NMB) who have a documented quantitative train-of-four ratio of greater than or equal to 0.9 before tracheal extubation in the operating room, post-anesthesia care unit, non-operating room anesthetizing location or earliest extubation except those patients who have documented need for continued paralysis postoperatively or a train of four less than 0.9 which necessitating Sugammadex or Neostigmine administration.   ",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Preoperative Older Adult Cognitive Assessment and Implementation of Older Adult Best Practices in Elective Surgeries,,,,AQI78,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 6775913, 9181695","Percentage of patients, aged 70 and older, who undergo an elective surgical procedure under general anesthesia who receive a cognitive screening using a validated tool(s) within 90 days prior to their procedure and, for those who screen positive for cognitive impairment or cognitively at-risk, have two or more perioperative best practices for the older adult applied to their care. 

Instructions:
This measure consists of a weighted average of two performance rates: 
Numerator Criteria 1:
Patients received a cognitive screening using a validated tool within 90 days prior to their elective surgical procedure.    
Numerator Criteria 2:
Patients with a positive cognitive screening or cognitively at-risk using a validated tool within 90 days prior to their elective surgical procedure received two or more perioperative best practices for the older adult applied to their care.

It is anticipated that qualified anesthesia professionals and eligible clinicians who provide denominator-eligible services will submit this measure.
",Process,Y,2025,,QCDR,,N,multiPerformanceRate,weightedAverage,,,,,,N
QCDR,Continuation of Buprenorphine for Inpatient Surgical Patients,,,,AQI75,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 6775913, 9181695","Percentage of patients, age 13 and older, undergoing an inpatient surgical procedure who have an outpatient prescription for buprenorphine/naloxone or suboxone in their admissions documentation are continued on buprenorphine for the duration of their inpatient stay",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Frailty Assessment and Intervention in Inpatient Surgical Patients,,,,AQI76,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 6775913, 9181695","Percentage of patients, aged 70 and older, undergoing an inpatient procedure under general anesthesia and who received a frailty screening using a validated tool(s) within 90 days of the procedure and up to ten minutes before anesthesia start time and, for those who screen positive for frailty, receive a referral or have three best practices applied to their care. ",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Early Tracheostomy Goals of Care Discussion,,,,EACCR1,Emergency and Acute Care Clinical Registry (EACCR),4757099,"Patients with > 96 hours of intubation and mechanical ventilation expected to require prolonged mechanical ventilation and/or their POA or families should engage in conversations clarifying goals of care prior to the 5th day of mechanical ventilation, to avoid late decisions regarding tracheostomy or comfort care.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Aspiration prevention in patients with gastric distension,,,,ABG45,ABG QCDR,5551268,"Percentage of patients 18 years and older with a current diagnosis of gastrointestinal obstruction, ileus, incarcerated hernia, or patients taking GLP-1 receptor agonists, or patients with gastroparesis, who undergo a surgical procedure under anesthesia and are treated preoperatively with a mitigation strategy that reduces the risk of aspiration during the surgical procedure. 

Instructions 
This measure is to be reported each time an adult patient with one or more of the following conditions undergoes a surgical procedure under anesthesia:

a)	has gastrointestinal obstruction, ileus, or an incarcerated hernia 
b)	is taking a GLP-1 receptor agonists 
c)	has gastroparesis",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Heart Rate Control in Patients with Atrial Fibrillation (AFib),,,,AVBC1,A Value-Based Care Registry,6397246,Percentage of patients aged 18 years and older with a diagnosis of atrial fibrillation (AFib) receiving heart rate control medications who achieve and maintain a resting heart rate of <110 beats per minute during the measurement period.,Outcome,Y,2025,,QCDR,,N,multiPerformanceRate,overallStratumOnly,,,,,,N
QCDR,Actinic Keratosis: Self-reported AK Treatment or Management Outcomes,,,,AAD20,AAD’s DataDerm™,4649789,Percentage of adult patients (>18 years old) who report favorable outcomes resulting from a recommended treatment or management approach for Actinic Keratosis. Patients provide a global assessment of the perceived effectiveness of the AK treatment approach or management plan. Improvements in patient perceptions of AK treatment approaches and management plans will enhance patient-provider communication and foster more patient- centered approaches to care.,Patient-Reported Outcome-based Performance Measure,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,"Avoidance of Advanced Imaging for Pediatrics Patients with Unprovoked, Generalized Seizure",,,,ECPR60,E-CPR (Emergency - Clinical Performance Registry),"1718371, 4757099, 1725296",Percentage of patients aged younger than 18 years with diagnosis of seizure that did not have a CT or MRI of the head ordered.,Efficiency,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Avoidance of Head CT Scans in Recurrent Seizure Episodes Without New Head Injury.,,,,THEPQR5,The PQR,"1725296, 4757099",This quality measure aims to minimize the use of head computed tomography (CT) scans in both the Emergency Department (ED) and Hospital Medicine (HM) settings for patients presenting with seizures when they have a known history of seizure disorder and there is no new clinical evidence of head injury.,Efficiency,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Avoidance of Admission for Atrial Fibrillation,,,,ACEP67,ACEP's Clinical Emergency Data Registry (CEDR),"5133825, 1718371, 1725296",Percentage of adult patients aged 18 years and older presenting to the Emergency Department with atrial fibrillation who were discharged to home,Outcome,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Point-of-care ultrasound (POCUS) in Cardiac Arrest,,,,ACEP68,ACEP's Clinical Emergency Data Registry (CEDR),"5133825, 1718371, 1725296",Percentage of patients ages 18 and older presenting to the Emergency Department with cardiac arrest who received point-of care ultrasound,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Blood Pressure Control Among Adult ED Patients with Nontraumatic Intracranial Hemorrhage,,,,ACEP69,ACEP's Clinical Emergency Data Registry (CEDR),5133825,Percentage of patients with an ED diagnosis of Intracerebral Hemorrhage for whom the last two recorded systolic blood pressure (SBP) readings were >= 90mm of Hg and <150mm of Hg.,Outcome,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Timely and Effective Management of Pediatric Asthma Exacerbations in the Emergency Department,,,,THEPQR6,The PQR,"1725296, 4757099","This measure evaluates the timely administration of both Short-Acting Beta Agonists (SABAs) and corticosteroids within 60 minutes of ED presentation in pediatric patients aged 2 to 18 years experiencing moderate to severe asthma exacerbations. It specifically assesses the prompt delivery of SABAs in conjunction with oral, intramuscular (IM), or intravenous (IV) corticosteroids to ensure effective management of asthma symptoms.",Process,N,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Syphilis testing among ED patients with a positive pregnancy test,,,,ACEP70,ACEP's Clinical Emergency Data Registry (CEDR),5133825,Percentage of patients with a positive pregnancy identification in an ED for whom a Syphilis test was ordered.,Process,N,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Opioid Use Disorder Risk Screening and Referral,,,,AQI77,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 6775913, 9181695","Percentage of patients, 18 years and older, who undergo a surgical procedure requiring anesthesia services who are screened for risk of opioid use disorder using a standardized screening tool and, if the patient test positive for risk of opioid use disorder, are referred to a treatment program according to facility policies and procedures.",Process,Y,2025,,QCDR,,N,multiPerformanceRate,weightedAverage,,,,,,N
QCDR,Echocardiogram Stewardship in Congestive Heart Failure (CHF): Avoiding Repeat Tests without Clinical Indication,,,,AVBC2,A Value-Based Care Registry,6397246,"This measure assesses the appropriate use of echocardiograms in patients with CHF. It evaluates the percentage of patients who receive echocardiograms without a clinical change or cardiac procedure within 24 months of the date of service (DOS), indicating potential overuse of this diagnostic test.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Emergency Medicine: Coagulation Studies in Patients Presenting to the Emergency Department with No Coagulopathy or Bleeding,,,,ACEP71,ACEP's Clinical Emergency Data Registry (CEDR),5133825,Percentage of emergency department visits for patients aged 18 years and older during which coagulation studies were ordered by an emergency care provider.,Process,Y,2025,,QCDR,,Y ,singlePerformanceRate,,,,,,,N
QCDR,Avoidance of DVT Ultrasound for Patients Diagnosed with Cellulitis,,,,HCPR29,H-CPR (Hospitalist –Clinical Performance Registry),"8483899, 4757099, 1725296",Percentage of patients aged 18 years and older with diagnosis of cellulitis that did not have a DVT ultrasound ordered,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Avoidance of Sliding-Scale Insulin Monotherapy for Admitted Diabetic Patients,,,,HCPR30,H-CPR (Hospitalist –Clinical Performance Registry),"8483899, 4757099, 1725296",Percentage of patients aged 18 years and older admitted to the hospital with diagnosis of diabetes mellitus that received order for basal insulin therapy,Process,N,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Point-of-Care Ultrasound for Evaluation and Management of Shock,,,,HCPR31,H-CPR (Hospitalist –Clinical Performance Registry),"8483899, 1718371, 4757099",Percentage of patients aged 18 years and older with diagnosis of Shock and that had Point-of-Care Ultrasound performed.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Solid Organ Injury Grading on CT/CTA for Blunt Abdominal Trauma (BAT) Patients,,,,QMM31,"MSN Healthcare Solutions, LLC",6394618,"Percentage of final reports for computed tomography (CT) or computed tomography angiography (CTA) of the abdomen or abdomen/pelvis for all patients 18 years of age and older with acute blunt abdominal trauma (BAT) with solid organ injury noted that include documentation of solid organ grading of the injured liver, spleen, and/or kidney according to a validated and published blunt abdominal trauma (BAT) scoring system. Each affected organ must receive an individual grade.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Reporting of Incidental Carotid Artery Calcification (ICAC) on CT Scans.,,,,PQRANES3,The PQR-ANES,"7746687, 4757099",This measure calculates the percentage of final reports for non-arterial CT of the neck region that document the presence or absence of incidental carotid artery calcification.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Intracerebral Hemorrhage (ICH) Scoring on Non-Contrast CT Head,,,,QMM32,"MSN Healthcare Solutions, LLC",6394618,"All patients 18 years of age and older undergoing non-contrast CT (NCCT) Head with an initial diagnosis of intracerebral hemorrhage (ICH), also referred to as intra-axial or
intraparenchymal hemorrhage (IPH), who have documentation of the location of ICH, ICH volume, and presence or absence of intraventricular hemorrhage (IVH) in the Final Report.",Process,N,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,DXA: Improving Reporting of True Change in Bone Mineral Density,,,,ACRAD43,American College of Radiology National Radiology Data Registry,5303416,Percentage of exam final reports for all serial DXA exams which have a comparable prior exam that include (1) an appropriate Least Significant Change (LSC) statement referencing a facility's LSC values and (2) a second statement regarding whether the measurement difference between the current exam and prior exam constitutes a significant change or not.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Trauma Screening and Re-Traumatization Prevention,,,,MBHR19,MBHR Mental and Behavioral Health Registry,4067715,"Adult patients (18 years of age or older) included in the denominator have been screened for a history of life-time trauma exposure using a systematic screening method during a 12-month measurement period AND if positive (e.g., patient endorses being exposed to trauma) the patient is screened for current symptoms of PTSD.

Instructions:
This measure is to be submitted once per performance period for patients seen during the performance period. This measure is intended to reflect systematic screening for a history of trauma. There is no diagnosis associated with this measure. This measure may be submitted by Merit-based Incentive Payment Systems (MIPS) eligible clinicians who perform the quality measure based on the services provided and the measure-specific denominator coding. For the purposes of this measure, the most recent denominator eligible encounter should be used to determine if the numerator action for the submission criteria was performed within the 12-month look back period.

Note: Patient encounters for this measure conducted via telehealth (e.g., encounters coded with 95 or POS 02) are allowable.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,"ABC Portion of [ABCDEF ICU Liberation Bundle] - Pain, Sedation, and Breathing management",,,,EACCR3,Emergency and Acute Care Clinical Registry (EACCR),4757099,"Patients admitted to the intensive care unit (ICU) for > or = 3 days that are intubated and have acute respiratory failure should be included in the 'ABC' of the ABCDEF bundle, including Assessment, Prevention and Management of Pain; Spontaneous Awakening/Breathing Trials, and Choice of Anesthesia and Sedation.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Limiting use of Desflurane-Based Inhalation Anesthesia.,,,,PQRANES4,The PQR-ANES,"7746687, 4757099",This measure quantifies the use of desflurane during general inhalation anesthesia.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Optimization of Short-term Dual Antiplatelet Therapy for High-risk Cerebrovascular Events,,,,THEPQR7,The PQR,"1725296, 4757099","This measure assesses the proportion of adult patients who are prescribed short-term dual antiplatelet therapy upon discharge following a diagnosis of high-risk transient ischemic attack (TIA), minor non-embolic ischemic stroke, or intracranial large artery atherosclerosis. It encourages the use of evidence-based protocols to reduce the risk of recurrent stroke.",Process,N,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,SGLT2 Inhibitors for Patients with Chronic Kidney Disease (CKD) with or without type 2 diabetes mellitus,,,,AVBC3,A Value-Based Care Registry,6397246,"This measure evaluates the percentage of patients aged 18 years and older with chronic kidney disease (CKD) stages 2 and 3 who are prescribed an SGLT2 inhibitor during the measurement period. The goal is to increase the use of SGLT2 inhibitors, which have been shown to slow the progression of CKD and reduce cardiovascular events in this population.",Process,N,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Resolution or Improvement of a Health-Related Social Need,,,,PIMSH18,Practice Insights by McKesson - QCDR,8794712,"Percentage of patients 18 years or older who screen positive for 1 or more of the 5 core health-related social needs (HRSNs), including food insecurity, housing instability, transportation problems, utility help needs, or interpersonal safety; and have at least 1 of their HRSNs resolved or improved within 6 months.",Patient-Reported Outcome-based Performance Measure,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,DEF [Portion of [ABCDEF ICU Liberation Bundle] - Delirium Management; Early mobility; and Family Engagement in ICU patients,,,,EACCR2,Emergency and Acute Care Clinical Registry (EACCR),4757099,"Patients admitted to the intensive care unit (ICU) for > or = 3 days should be included in the 'DEF' portion of the ABCDEF bundle, including Delirium Assessment, Prevention, and Management; Early mobility; and Family Engagement and Empowerment",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Immunohistochemistry (IHC) and/or Molecular BRAF Testing Status in Metastatic Melanoma,,,,QMM33,MSN Healthcare Solutions QCDR II,7418330,Percentage of final immunohistochemical staining reports for patients with an initial diagnosis of metastatic melanoma that contain a recommendation for or the results of immunohistochemistry (IHC) and/or molecular BRAF testing.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Use of Appropriate Scoring System for Immunohistochemistry (IHC) for HER2/neu Testing for Invasive Breast Cancer,,,,QMM34,MSN Healthcare Solutions QCDR II,7418330,Percentage of final pathology reports for immunohistochemistry (IHC) for HER2/neu testing for invasive breast cancer that include interpretation of the results in accordance with the 2023 ASCO-CAP Guideline Update.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Methotrexate to Biologic Adherence to Treatment Pathway for Patients with Rheumatoid Arthritis,,,,ACR17,RISE (Rheumatology Informatics System for Effectiveness),5598408,Percentage of patients aged 18 years or older with a diagnosis of RA AND receiving a first course therapy using a biologic disease-modifying antirheumatic drug (DMARD) who had a prescription for a conventional synthetic (cs) DMARD at least 10 weeks prior to newly initiated biologic therapy during the measurement year.,Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Obstructive Sleep Apnea: Improvement of Obstructive Sleep Apnea after a Corrective Surgical Procedure,,,,AAO42,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,"Percentage of patients aged 18 years and older who have a diagnosis of obstructive sleep apnea and received a corrective procedure for the obstructive sleep apnea and had an improvement in their post-operative sleep study results (i.e., Apnea-Hypopnea Index [AHI], Respiratory Disturbance Index [RDI]) compared to their pre-operative results.",Outcome,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Appropriate Testing Among Patients Who Underwent Surgery for PJI,,,,AJRR14,AAOS Orthopaedic Quality Resource Center,5224253,"Percentage of surgical procedures for prosthetic joint infection (PJI) of the hip or knee for which indicated pre-operative, intra-operative, and peri-operative bundles were completed as follows:
1)	Pre-operative bundle (within 3 months prior to surgery)
a)	Serum Erythrocyte Sedimentation Rate (ESR)
b)	Serum C-reactive Protein (CRP)
c)	Cell count on joint aspirate
d)	Differential of cell count on joint aspirate
e)	Both anaerobic AND aerobic cultures on joint aspirate  
2)	Intra-operative bundle (during surgery)
a)	3 tissue samples taken after the start of the procedure
b)	Tissue samples sent for anaerobic AND aerobic cultures.
3)	Peri-operative bundle (spanning 8 weeks before surgery to 4 weeks after surgery)
a)	Evaluated by an infectious disease (ID) specialist during the peri-operative time period.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,90-Day Composite Complication Rate for Degenerative Spine Procedures,,,,AJRR15,AAOS Orthopaedic Quality Resource Center,5224253,"Percentage of patients ages 18 years and older, undergoing a lumbar or cervical procedure, who had a post-operative complication.",Outcome,Y,2025,,QCDR,,N,multiPerformanceRate,simpleAverage,,,,,,N
QCDR,Tonsillectomy: Post-Tonsillectomy Pain Management in Pediatric Patients,,,,AAO40,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,Percentage of patients aged 12 years and younger who underwent a tonsillectomy and were given opioids within the 5-day postoperative period.,Process,Y,2025,,QCDR,,Y ,singlePerformanceRate,,,,,,,N
QCDR,Tonsillectomy: Post-Tonsillectomy Hemorrhage,,,,AAO41,American Academy of Otolaryngology – Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,Percentage of patients aged 1 year and older who underwent a tonsillectomy and had a post-tonsillectomy hemorrhage requiring reevaluation or surgical intervention within the 21-day postoperative period.,Outcome,Y,2025,,QCDR,,Y ,singlePerformanceRate,,,,,,,N
QCDR,,,,,IRIS62,,,,,,,2025,,,,,,,,,,,
QCDR,,,,,MBHR10,,,,,,,2025,,,,,,,,,,,
QCDR,Arteriovenous Fistula Patency Rate,,,,RCOIR14,,,,,,,2025,,,,,,,,,,,
QCDR,Arteriovenous Graft Patency Rate,,,,RCOIR15,,,,,,,2025,,,,,,,,,,,
QCDR,,,,,THEPQR3,,,,,,,2025,,,,,,,,,,,
QCDR,,,,,PIMSH2,,,,,,,2025,,,,,,,,,,,
QCDR,Oncology: Utilization of Prophylactic GCSF for Cancer Patients Receiving Low-Risk Chemotherapy (inverse measure),,,,PIMSH17,Practice Insights by McKesson - QCDR,"8794712, 7037323",Percentage of patients with cancer (solid tumors only) receiving any white cell growth factors with during the first cycle of low-risk chemotherapy.,Efficiency,Y,2025,,QCDR,,Y,singlePerformanceRate,,,,,,,N
QCDR,Exudative Age-Related Macular Degeneration: Gain of Visual Acuity,,,,IRIS63,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight),3927141,"Percentage of patients with a diagnosis of exudative age-related macular degeneration, being treated with anti-VEGF agents, with a gain of 1 Snellen line or more (which is equivalent to 0.1 logMAR or more) of visual acuity within the past 12 months compared to pre-treatment. Weighted average of performance rates reported.",Outcome,Y,2025,,QCDR,,N,multiPerformanceRate,weightedAverage,,,,,,N
QCDR,,,,,QMM22,,,,,,,2025,,,,,,,,,,,
QCDR,Appropriate Use of Bethesda System for Reporting Thyroid Cytopathology on Fine Needle Aspirations (FNA) of Thyroid Nodule(s),,,,QMM30,MSN Healthcare Solutions QCDR II,"7418330, 6704504","Percentage of final pathology reports for thyroid nodule fine needle aspiration (FNA) specimens that include documentation of the diagnostic category, range of estimated risk of malignancy (ROM), and clinical management options in accordance with the Bethesda System for Reporting Cytopathology, 3rd edition (2023), and for thyroid nodule specimens of indeterminate cytology (Bethesda 3 or 4), documentation that direct communication was sent to patient and/or treating physician (if known) to inform them that molecular panel testing may be appropriate.",Process,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,ABFM12,,,,,,,2025,,,,,,,,,,,
QCDR,Measuring the Value-Functions of Primary Care: Physician Level Continuity of Care Measure,,,,ABFM14,ABFM PRIME,4849508,"The measure calculates the percentage of a physician’s patients who have a continuity index of at least 0.7 (excluding patients with < 2 primary care visits during the measurement period). This is a physician-level measure for use in evaluating physician behavior; it leverages a previously validated continuity index that quantifies the extent to which patients experience continuity of provider in their primary care visits.

This measure evaluates the extent to which primary care physicians (PCPs) are supporting the continuity of care of their patients. High care continuity is shown to improve patient outcomes and physician well-being, is associated with decreased health care costs (total, ED, inpatient, primary care, and costs for specific conditions or treatments) and health care utilization (ED visits and hospitalizations). As a byproduct of building a trusting relationship over time, issues of equity and social risk can be addressed. Physicians who perform better are likely to have specific structures and processes in place that are conducive to allowing patients to achieve higher care continuity. 

Compared to lower scores (e.g., 0.6 or lower), continuity index scores of 0.7 or higher have been associated with significantly lower Medicare expenditures and significantly lower odds of hospitalization.1 

References: 
1. Higher Primary Care Physician Continuity is Associated with Lower Costs and Hospitalizations. Bazemore et al. Annals of Family Medicine. 2018. 16, 492-497.",Efficiency,Y,2025,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,AJRR11,,,,,,,2025,,,,,,,,,,,
QCDR,Improvement in Pain Assessment Following Spine Fusion Procedures,,,,AJRR13,AAOS Orthopaedic Quality Resource Center,"5224253, 1157686, 3967247",Percentage of patients with patient-reported meaningful improvement in pain following lumbar or cervical spine procedures,Outcome,Y,2025,,QCDR,,N,multiPerformanceRate,simpleAverage,,,,,,N
QCDR,Appropriate Emergency Department Utilization of Lumbar Spine Imaging for Acute Atraumatic Low Back Pain,,,,ACEP52,,"5133825, 1718371, 1725296","Percentage of emergency department visits during which patients aged 18 years and older had a CT or MRI of the Lumbar Spine ordered by an emergency care provider, regardless of discharge disposition, presenting with acute, atraumatic low back pain.",,,,,,,,,,,,,,,
QCDR,Foley Catheter: Appropriate Foley catheter use in the emergency department,,,,ACEP31,,,Percentage of emergency department visits for admitted patients aged 18 years and older where an indwelling Foley catheter is ordered and the patient had at least one indication for an indwelling Foley catheter,,,,,,,,,,,,,,,
QCDR,Septic shock Outcomes: Lactate clearance rate of >= 10%,,,,ACEP30,,,,,,,,,,,,,,,,,,
QCDR,"Sepsis diagnosis and management: Lactate Level Measurement, Antibiotics Ordered, and Fluid Resuscitation",,,,ACEP48,,,"Percentage of emergency department visits for patients aged 18 years and older with septic shock, resulting in hospital admission or transfers, who had an order for all the following during the visit: a serum lactate level, antibiotics, and >=1L of crystalloids",,,,,,,,,,,,,,,
QCDR,"Opioid Withdrawal: Initiation of Medication for Opioid Use Disorder (MOUD) and Referral to Outpatient Opioid Treatment

",,,,ECPR56,,"1718371, 4757099, 8483899","Percentage of Patients Presenting with Opioid Withdrawal Who Were Given Medication for Opioid Use Disorder (MOUD) and Referred to Outpatient Opioid Treatment

",,,,,,,,,,,,,,,
QCDR,Pressure Ulcer* (PU) Healing or Closure (ulcerations not on the lower extremity),,,,USWR36,,,"Percentage of Stage 2, 3, or 4 pressure ulcers* (not on the lower extremity) among patients aged 18 or older that achieve healing or closure within 6 months [Note: Because both CMS and ICD10-CM use the term ""pressure ulcer"" for open cutaneous lesions, we are using that term.]",,,,,,,,,,,,,,,
QCDR,,,,,HCPR25,,"4757099, 8483899, 1725296, 1718371","Percentage of Patients with Advanced Illness with Physician’s Orders for Life-Sustaining Treatment (POLST) Forms Completed.

",,,,,,,,,,,,,,,
QCDR,,,,,AAO16,,,"Percentage of patients aged 50 years and older who failed a hearing screening and/or who report suspected hearing loss who received, were ordered, or were referred for comprehensive audiometric evaluation within 4 weeks of the office visit",,,,,,,,,,,,,,,
QCDR,,,,,AAD15,,,Percentage of patients with a diagnosis of psoriasis with a documented Body Surface Area (BSA) greater than 10% for whom phototherapy or an oral systemic or biologic medication was prescribed.,,,,,,,,,,,,,,,
QCDR,,,,,ACEP22,,,"Percentage of emergency department visits during which patients aged 18 years and older had a CT pulmonary angiogram (CTPA) ordered by an emergency care provider, regardless of discharge disposition, with either moderate or high pre-test clinical probability for pulmonary embolism or elevated D-dimer level",,,,,,,,,,,,,,,
