Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,"Heart Failure (HF): SGLT-2 Inhibitor Therapy for Left Ventricular Systolic Dysfunction (LVSD)",,,,HCPR28,,,"Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) less than or equal to 40% who were prescribed SGLT-2 Inhibitors during their SNF stay or at the time of discharge",,,,,,,,,,,,,,,
QCDR,"Opioid Withdrawal: Initiation of Medication for Opioid Use Disorder (MOUD) and Referral to Outpatient Opioid Treatment",,,,ECPR56,,,"Percentage of Patients Presenting with Opioid Withdrawal Who Were Given Medication for Opioid Use Disorder (MOUD) and Referred to Outpatient Opioid Treatment",,,,,,,,,,,,,,,
QCDR,,,,,HCPR25,,,"Percentage of Patients with Advanced Illness with Physician’s Orders for Life-Sustaining Treatment (POLST) Forms Completed.",,,,,,,,,,,,,,,
QCDR,,,,,QMM26,,,"Percentage of patients, aged 50-years-old or older, who have had a screening ultrasound for an abdominal aortic aneurysm (AAA), with positive or negative findings, that have recognized clinical follow up recommendations documented in the final report and direct communication of findings greater than or equal to 5.5 cm in size made to the ordering provider.",,,,,,,,,,,,,,,
QCDR,Hospital Admissions or Infectious Complications Within 30 days of Prostate Biopsy,,,,AQUA8,,,,,,,,,,,,,,,,,,
QCDR,,,,,USWR22,U.S. Wound Registry,,The percentage of patients in the denominator for whom an appropriate intervention plan is recommended by the practitioner based on the assessment results,,,,,,,,,,,,,,,
QCDR,,,,,FOTO7,,,"This is a patient-reported outcome performance measure (PRO-PM) consisting of a patient-reported outcome measure (PROM) of risk-adjusted change in functional status (FS) for patients aged 14 years and older who have experienced a stroke with sequelae impacting physical functional abilities. For patients with such conditions affecting use of the hand, arm, and upper trunk, the change in FS is assessed using the FOTO Stroke Upper Extremity (SUE) FS PROM.1 For patients with such conditions affecting the foot, leg, and lower trunk, the change in FS is assessed using the FOTO Stroke Lower Extremity (SLE) FS PROM.1 PROM cores were scaled to the 0-100 metric, with higher scores representing higher perceived functional status. In order to fairly measure performance between providers, the measure is risk-adjusted to patient characteristics known to be associated with FS outcomes and used as a performance measure (PM) at the patient and provider levels to assess quality.",,,,,,,,,,,,,,,
QCDR,,,,,AQI79,,,"The percentage of patients, 18 years and older, who undergo a procedure utilizing non-depolarizing neuromuscular blockade (NMB) who have a documented quantitative train-of-four ratio of greater than or equal to 0.9 before tracheal extubation in the operating room, post-anesthesia care unit, non-operating room anesthetizing location or earliest extubation.",,,,,,,,,,,,,,,
QCDR,,,,,AQI78,,,"Percentage of patients, aged 70 and older, who undergo an elective surgical procedure under general anesthesia who receive a cognitive screening using a validated tool(s) within 90 days prior to their procedure and, for those who screen positive for cognitive impairment or cognitively at-risk, have two or more perioperative best practices for the older adult applied to their care. 

Instructions:
This measure consists of a weighted average of two performance rates: 
Numerator Criteria 1:
Patients received a cognitive screening using a validated tool within 90 days prior to their elective surgical procedure.    
Numerator Criteria 2:
Patients who screened positive for cognitive impairment or cognitively at risk (positive cognitive screening or positive cognitively at-risk) using a validated tool within 90 days prior to their elective surgical procedure received two or more of the perioperative best practices for the older adult applied to their care.

It is anticipated that qualified anesthesia professionals and eligible clinicians who provide denominator-eligible services will submit this measure.",,,,,,,,,,,,,,,
QCDR,,,,,AQI77,,,"Percentage of patients, 18 years and older, who undergo a surgical procedure requiring anesthesia services who are screened for risk of opioid use disorder using a standardized screening tool and, if the patient tests positive for risk of opioid use disorder, are referred to a treatment program according to facility policies and procedures.",,,,,,,,,,,,,,,
