Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,Actinic Keratosis: Appropriate Documentation and Shared Decision Making of AK,,,,AAD21,AAD’s DataDerm™,4649789,"Percentage of adult patients (>18 years old) diagnosed with Actinic Keratosis (AK) whose healthcare provider has recorded the following information in the patient’s medical record 1) documentation of the number or range of AKs, 2) location(s) of AK, 3) documentation of prior squamous cell carcinoma, or prior keratinocyte carcinomas and types if known, 4) age, 5) gender, and 6) immunosuppression and have engaged in bi-directional communication with the patient regarding the risk of malignant transformation and a discussion of at least two options for managing AK.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Otolaryngologic Surgical Procedures: Avoidance of Unnecessary Antibiotic Use,,,,AAO43,American Academy of Otolaryngology - Head and Neck Surgery Foundation (AAO-HNSF) Reg-entSM Registry,8365868,"Percentage of patients aged 1 year and older who underwent an otolaryngologic surgical procedure and did not receive perioperative or postoperative antibiotics when there were no clinical indications, based on evidence-based guidelines.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,"Patient Reported Outcome Physical Function Survey for Patients with Rheumatology Conditions

",,,,ACR18,RISE (Rheumatology Informatics System for Effectiveness),5598408,"Percentage of patients aged 18 years and older with 2 or more rheumatology encounters with a documented diagnosis of rheumatoid arthritis (RA), psoriatic arthritis (PsA), or systemic lupus erythematosus (SLE) who have an assessment for physical function using ACR-preferred assessment tools or other tools deemed acceptable by the ACR at least once during the measurement year.",Process,Y,2026,,QCDR,,N,multiPerformanceRate,weightedAverage,,,,,,N
QCDR,Avoiding the Prolonged Use of Moderate/High Dose Glucocorticoids for Patients with Systemic Lupus Erythematosus,,,,ACR19,RISE (Rheumatology Informatics System for Effectiveness),5598408,"Percentage of patients aged 18 years or older with a diagnosis of systemic lupus erythematosus (SLE), who are not prescribed an oral a glucocorticoid at a dose exceeding 5 mg per day prednisone equivalent for greater than 6 months.",Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Hydroxychloroquine Use in Patients with Systemic Lupus Erythematosus,,,,ACR20,RISE (Rheumatology Informatics System for Effectiveness),5598408,"Percentage of patients aged 18 years or older with a diagnosis of systemic lupus erythematosus (SLE), who have an active prescription for hydroxychloroquine during the measurement year. ",Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Standardized Spine Fracture Classification Using Validated Systems,,,,ACRAD46,American College of Radiology National Radiology Data Registry,5303416,Percentage of final reports for patients with acute spinal fractures undergoing initial CT of the spine that include descriptive imaging findings.,Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,AQI49,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AQI18,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),,,,,,,,,,,,,,,,,
QCDR,,,,,AQI74,,,,,,,2026,,,,,,,,,,,
QCDR,Noninvasive Ischemic Imaging Stewardship in Chronic Coronary Disease: Avoiding Testing without Clinical Indication,,,,AVBC4,A Value-Based Care Registry,6397246,"This measure assesses the appropriate use of noninvasive ischemic imaging in patients with chronic coronary disease in accordance with the 2023 ACC/AHA guidelines on the management of chronic coronary disease. It evaluates the percentage of patients who received imaging without a clinical change or pre-operative indication, signaling potential overuse of cardiac imaging.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Complete Reporting of Gastrointestinal Metaplasia,,,,CAP43,Pathologists Quality Registry,5688621,"Percentage of pathology reports for gastric specimens with intestinal metaplasia that comment on the presence or absence of H. pylori and of dysplasia. If dysplasia is present, comment on the grade of dysplasia. If dysplasia is not present, comment on completeness of intestinal metaplasia.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Molecular Assessment for Endometrial Carcinoma,,,,CAP44,Pathologists Quality Registry,5688621,"Percentage of pathology reports for endometrial carcinoma that comment on POLE and p53 testing status, and status of IHC for PMS2 and MSH6.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Inhaled Corticosteroid for Patients with Acute Asthma Exacerbation,,,,ECPR61,E-CPR (Emergency - Clinical Performance Registry),"1718371, 4757099",Percentage of patients aged 6+ diagnosed with an acute asthma exacerbation and prescribed inhaled corticosteroid,Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
