Category,Measure ID,Measure Title,Measure Description,First Performance Year,Year Removed,Subcategory Name
IA,IA_PM_27,Improving Detection of Cognitive Impairment in Primary Care,"To increase the detection rate of cognitive impairment, particularly in early stages, the MIPS eligible primary care clinician must perform the following activities:
•  Determine his/her baseline detection rates for mild cognitive impairment (MCI), dementia, and cognitive impairment at either stage using the tool provided for this Improvement Activity
•  If any of the three rates are below 1.0:
    o  Increase the uptake of the Annual Wellness Visit
    o  Ensure that each Annual Wellness Visit contains a structured cognitive assessment
    o  Include a question about subjective memory concerns to the collection of vital signs during intake for patients 65+, and conduct a structured cognitive assessment in those with concerns
•  Remeasure detection rates for MCI, dementia, and cognitive impairment at either stage quarterly
This Improvement Activity should only focus on Medicare patients aged 65 and older, given the strong correlation of cognitive impairment with age.",2026,,Population Management 
IA,IA_PM_28,Integrating Oral Health Care in Primary Care,"MIPS eligible clinicians that practice primary care will include an oral health risk assessment and intraoral screening as part of a patient's primary care management. The MIPS eligible clinician will provide education and counseling to the patient to include the importance of oral health and the impact of oral health on systemic diseases. For patients without a dental home and/or those with oral health needs, a dental referral will be provided. 

To receive credit for this activity, a MIPS eligible clinician must complete two Smiles for Life (https://www.smilesforlifeoralhealth.org) trainings: (“The Oral Examination” and “Geriatric Oral Health”). These are one-time, free, online training 60-minute certification courses. Smiles for Life oral health education has been adopted by Medicaid in several states to improve oral health access, outcomes, and referrals for children through educating medical providers. 

The MIPS eligible clinician must include one or more of the following activities in addition to completing the training: 
 
•  Create a dental referral network list by specialty and accepted insurances. 
•  Include applicable oral health screening questions in the patient health intake forms (dentist of record, date of the last dental exam, and personal oral hygiene routine).  
•  Identify an applicable caries risk assessment tool to be used. 
•  Include intraoral health screening and referral to dental provider as part of a patient's primary care management.   
•  Provide education and counseling to patients about the importance of oral health and impact on systemic disease. 
•  Refer patients without a dental home and/or those who have untreated dental disease indicated by health history, caries risk assessment, Intraoral health screening, medications and/or concerns reported by patient.  
•  Include a description of the findings found in all dental referrals. 
    o  Documents with appropriate procedure and diagnostic codes to track services provided and referrals to validate performance of the improvement activity.",2026,,Population Management 
IA,IA_PSPA_34,Patient Safety in Use of Artificial Intelligence (AI),"Develop a new data-collection field within patient safety reporting systems for AI-attributable events, which would include both actual harm as well as near misses. When an event is identified, a process to identify the cause and plan for future mitigation is documented. AI-attributable events are defined broadly to include not only automated or semi-automated devices, but any electronic tool that is being used to support clinical decision making.   ",2026,,Patient Safety And Practice Assessment
IA,IA_AHE_1,,,,2026,
IA,IA_AHE_3,,,,2026,
IA,IA_AHE_6,,,,2026,
IA,IA_AHE_7,,,,2026,
IA,IA_AHE_10,,,,2026,
IA,IA_PM_13,,,,2026,
IA,IA_EPA_7,Enhance Engagement of Medicaid and Other Underserved Populations,"To improve responsiveness of care for Medicaid and other underserved patients: use time-to-treat data (i.e., data measuring the time between clinician identifying a need for an appointment and the patient having a scheduled appointment) to identify patterns by which care or engagement with Medicaid patients or other groups of underserved patients has not achieved standard practice guidelines; and with this information, create, implement, and monitor an approach for improvement. This approach may include screening for patient barriers to treatment, especially transportation barriers, and providing resources to improve engagement (e.g., state Medicaid non-emergency medical transportation benefit).",2017,,Expanded Practice Access
