Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,Psoriasis - Improvement in Patient-Reported Itch Severity,,,,485,,,,,,,,,,,,,,,,,,
Quality,,,,,177,,,Percentage of patients aged 18 years and older with two or more encounters with diagnoses of rheumatoid arthritis (RA) at least 90 days apart who have an assessment of disease activity using an ACR-preferred RA disease activity assessment tool at ≥50% of encounters for RA for each patient during the performance period.,,,,,,,,,,,,,,,
Quality,,,,,178,,,Percentage of patients aged 18 years and older with two or more encounters with diagnoses of rheumatoid arthritis (RA) at least 90 days apart for whom a functional status assessment was performed at least once during the performance period.,,,,,,,,,,,,,,,
Quality,,,,,180,,,"Percentage of patients aged 18 years and older with two or more encounters with diagnoses of rheumatoid arthritis (RA) at least 90 days apart who have been assessed for glucocorticoid use and, for those on prolonged doses of prednisone > 5 mg daily (or equivalent) with improvement or no change in disease activity, documentation of glucocorticoid management plan during the performance period.",,,,,,,,,,,,,,,
Quality,,,,,222,,,"A patient-reported outcome measure (PROM) of risk-adjusted change in functional status (FS) for patients 14 years+ with elbow, wrist, or hand impairments. The change in FS is assessed using the FOTO Elbow/Wrist/Hand FS PROM. The measure is adjusted to patient characteristics known to be associated with FS outcomes (risk adjusted) and used as a performance measure at the patient, individual clinician, and clinic levels to assess quality.",,,,,,,,,,,,,,,
Quality,,CMS1173v1,3749e,,514,,,,,,,,,,,,,,,,,,
Quality,,CMS1154v1,,,515,,,,,,,,,,,,,,,,,,
Quality,,,,,495,,,,,,,,,"Cardiology, Clinical Social Work, Family Medicine, Geriatrics, Internal Medicine, Nephrology, Neurology, Oncology/ Hematology, Pulmonology, Skilled Nursing Facility",,,,,,,,,
Quality,,,,,024,,,,,,,,,"Family Medicine, Internal Medicine, Interventional Radiology, Orthopedic Surgery, Preventive Medicine, Rheumatology",,,,,,,,,
Quality,,,,,039,,,,,,,,,"Cardiology, Certified Nurse Midwife, Clinical Social Work, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Internal Medicine, Nephrology, Neurology, Obstetrics/Gynecology, Oncology/ Hematology, Orthopedic Surgery, Otolaryngology, Physical Medicine, Preventive Medicine, Pulmonology, Rheumatology, Skilled Nursing Facility, Thoracic Surgery, Urology, Vascular Surgery",,,,,,,,,
Quality,,,,,130,,,,,,,,,"Allergy/ Immunology, Audiology, Cardiology, Certified Nurse Midwife, Clinical Social Work, Dermatology, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/ Behavioral Health and  Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/Gynecology, Oncology/ Hematology, Ophthalmology, Optometry,Orthopedic Surgery, Otolaryngology, Physical Medicine, Physical Therapy/Occupational Therapy, Plastic Surgery, Preventive Medicine, Pulmonology, Rheumatology, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery",,,,,,,,,
Quality,,,,,288,,,,,,,,,"Clinical Social Work, Geriatrics, Mental/ Behavioral Health and  Psychiatry, Neurology, Nutrition/ Dietician, Physical Therapy/Occupational Therapy, Speech Language Pathology",,,,,,,,,
Quality,,,,,355,,,,,,,,,"General Surgery, Interventional Radiology, Otolaryngology, Plastic Surgery",,,,,,,,,
Quality,,,,,356,,,,,,,,,"General Surgery, Interventional Radiology, Plastic Surgery, Thoracic Surgery",,,,,,,,,
Quality,,,,,357,,,,,,,,,"General Surgery, Interventional Radiology, Otolaryngology, Plastic Surgery, Vascular Surgery",,,,,,,,,
Quality,,,,,358,,,,,,,,,"General Surgery, Interventional Radiology, Orthopedic Surgery, Otolaryngology, Plastic Surgery, Podiatry, Thoracic Surgery, Urology, Vascular Surgery",,,,,,,,,
Quality,,,,,418,,,,,,,,,"Endocrinology, Family Medicine, Internal Medicine, Interventional Radiology, Obstetrics/Gynecology, Orthopedic Surgery",,,,,,,,,
Quality,,,,,317,,,,,,,,,"Allergy/ Immunology, Audiology, Cardiology, Dermatology, Emergency Medicine, Gastro-enterology, General Surgery, Mental/ Behavioral Health and  Psychiatry, Nephrology, Neurology, Oncology/ Hematology, Orthopedic Surgery, Otolaryngology, Physical Medicine, Physical Therapy/Occupational Therapy, Plastic Surgery, Podiatry, Rheumatology, Skilled Nursing Facility, Urgent Care, Urology, Vascular Surgery",,,,,,,,,
