Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,,CMS122v14,,,001,,,,,,,,,,,,,,,,,,
Quality,,CMS135v14,,,005,,,,,,,,,,,,,,,,,,
Quality,,CMS145v14,,,007,,,,,,,,,,,,,,,,,,
Quality,,CMS144v14,,,008,,,,,,,,,,,,,,,,,,
Quality,,CMS128v14,,,009,,,,,,,,,,,,,,,,,,
Quality,,CMS143v14,,,012,,,Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) who have an optic nerve head evaluation during one or more visits during the measurement period.,,,,,,,,,,,,,,,
Quality,,CMS142v14,,,019,,,,,,,,,,,,,,,,,,
Quality,,CMS154v14,,,065,,,,,,,,,,,,,,,,,,
Quality,,CMS146v14,,,066,,,,,,,,,,,,,,,,,,
Quality,,CMS129v15,,,102,,,,,,,,,,,,,,,,,,
Quality,,CMS125v14,,,112,,,,,,,,,,,,,,,,,,
Quality,,CMS130v14,,,113,,,,,,,,,,,,,,,,,,
Quality,,CMS131v14,,,117,,,,,,,,,,,,,,,,,,
Quality,,,,,118,,,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12-month period who also have diabetes OR a current or prior Left Ventricular Ejection Fraction (LVEF) ≤ 40% who were prescribed ACE inhibitor or ARB therapy.,,,,,,,,,,,,,,,
Quality,,CMS69v14,,,128,,,Percentage of patients aged 18 years and older with a BMI documented during the current encounter or within the previous twelve months AND who had a follow-up plan documented if BMI was outside of normal parameters.,,,,,,,,,,,,,,,
Quality,,CMS68v15,,,130,,,,,,,,,,,,,,,,,,
Quality,,CMS2v15,,,134,,,,,,,,,,,,,,,,,,
Quality,Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 20% OR Documentation of a Plan of Care.,,,,141,,,,,,,,,,,,,,,,Part B Claims,,
Quality,,CMS157v14,,,143,,,,,,,,,,,,,,,,"MIPS CQM, eCQM",,
Quality,,,,,155,,,Percentage of patients aged 65 years and older with a history of falls who had a plan of care for falls documented within 12 months.,,,,,,,,,,,,,,,
Quality,,,,,177,,,Percentage of patients aged 18 years and older with two or more diagnoses of rheumatoid arthritis (RA) at least 90 days apart who have an assessment of disease activity using an ACR-preferred RA disease activity assessment tool at ≥50% of encounters for RA for each patient during the performance period.,,,,,,,,,,,,,,,
Quality,,,,,178,,,Percentage of patients aged 18 years and older with two or more diagnoses of rheumatoid arthritis (RA) at least 90 days apart for whom a functional status assessment was performed at least once during the performance period.,,,,,,,,,,,,,,,
Quality,,,,,180,,,"Percentage of patients aged 18 years and older with two or more diagnoses of rheumatoid arthritis (RA) at least 90 days apart who have been assessed for glucocorticoid use and, for those on prolonged doses of prednisone > 5 mg daily (or equivalent) with improvement or no change in disease activity, documentation of glucocorticoid management plan during the performance period.",,,,,,,,,,,,,,,
Quality,,CMS133v14,,,191,,,,,,,,,,,,,,,,,,
Quality,,CMS1188v3,,,205,,,,,,,,,,,,,,,,,,
Quality,,CMS138v14,,,226,,,,,,,,,"Allergy/ Immunology, Audiology, Cardiology, Certified Nurse Midwife, Clinical Social Work, Dermatology, Endocrinology, Gastro-enterology, General Surgery, Geriatrics, Infectious Disease, Mental/ Behavioral Health and  Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Oncology/ Hematology, Ophthalmology, Optometry,Orthopedic Surgery, Otolaryngology, Pediatrics, Physical Medicine, Physical Therapy/Occupational Therapy, Plastic Surgery, Podiatry, Pulmonology, Radiation Oncology, Rheumatology, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery",,,,,,,,,
Quality,,CMS165v14,,,236,,,,,,,,,,,,,,,,,,
Quality,,CMS156v14,,,238,,,,,,,,,,,,,,,,,,
Quality,,CMS155v14,,,239,,,,,,,,,,,,,,,,,,
Quality,,CMS117v14,,,240,,,,,,,,,,,,,,,,,,
Quality,,CMS149v14,,,281,,,"Percentage of patients, regardless of age, with a diagnosis of dementia for whom an assessment of cognition is performed and the results reviewed at least once within the 12 months preceding a dementia encounter during the measurement period.",,,,,,,,,,,,,,,
Quality,,CMS137v14,,,305,,,,,,,,,,,,,,,,,,
Quality,,CMS124v14,,,309,,,,,,,,,,,,,,,,,,
Quality,Chlamydia Screening in Women,CMS153v14,,,310,,,,,,,,,,,,,,,,,,
Quality,,CMS22v14,,,317,,,,,,,,,,,,,,,,,,
Quality,,CMS139v14,,,318,,,,,,,,,,,,,,,,,,
Quality,CAHPS for MIPs Clinician/Group Survey,,,,321,Centers for Medicare & Medicaid Services,,,,,,,,,,,,,,,,,
Quality,,CMS314v3,,,338,,,,,,,,,,,,,,,,,,
Quality,,CMS1157v2,,,340,,,,,,,,,,,,,,,,,,
Quality,Unplanned Reoperation within the 30-Day Postoperative Period,,,,355,,,Percentage of patients aged 18 years and older who had any unplanned reoperation within the 30-day postoperative period.,,,,,,,,,,,,,,,
Quality,Follow-Up Care for Children Prescribed ADHD Medication,CMS136v15,,,366,,,,,,,,,,,,,,,,,,
Quality,,CMS159v14,,,370,,,,,,,,,,,,,,,,,,
Quality,,CMS50v14,,,374,,,,,,,,,,,,,,,,,,
Quality,,CMS56v14,,,376,,,,,,,,,,,,,,,,,,
Quality,,CMS90v15,,,377,,,,,,,,,,,,,,,,,,
Quality,,CMS75v14,,,378,,,,,,,,,,,,,,,,,,
Quality,,CMS74v15,,,379,,,,,,,,,,,,,,,,,,
Quality,,CMS177v14,,,382,,,,,,,,,,,,,,,,,,
Quality,,,,,386,,,"Percentage of patients diagnosed with Amyotrophic Lateral Sclerosis (ALS) who were offered assistance in planning for end of life issues (e.g., advance directives, invasive ventilation, lawful physician-hastened death, or hospice) or whose existing end of life plan was reviewed or updated at least once annually or more frequently as clinically indicated (i.e., rapid progression).",,,,,,,,,,,,,,,
Quality,,,,,394,,,"The percentage of adolescents 13 years of age who had one dose of meningococcal vaccine (serogroups A, C, W, Y or A, C, W, Y, B), one tetanus, diphtheria toxoids and acellular pertussis (Tdap) vaccine, and have completed the Human Papillomavirus (HPV) vaccine series by their 13th birthday.",,,,,,,,,,,,,,,
Quality,,,,,400,,,Percentage of patients age ≥ 18 years who have never been tested for Hepatitis C Virus (HCV) infection who receive an HCV infection test AND who have treatment initiated within three months or who are referred to a clinician who treats HCV infection within one month if tested positive for HCV.,,,,,,,,,,,,,,MIPS CQM,
Quality,,,,,410,,,, Intermediate Outcome,,,,,,,,,,,,,,
Quality,,CMS347v9,,,438,,,,,,,,,,,,,,,,,,
Quality,,,,,441,,,"The IVD All-or-None Measure is one outcome measure (optimal control). The measure contains four goals. All four goals within a measure must be reached in order to meet that measure. The numerator for the all-or-none measure should be collected from the organization's total IVD denominator. All-or-None Outcome Measure (Optimal Control) - Using the IVD denominator optimal results include:
• Most recent blood pressure (BP) measurement is less than or equal to 130/80 mm Hg -- AND
• Most recent tobacco status is Tobacco Free -- AND
• Daily Aspirin or Other Antiplatelet Unless Contraindicated – AND
• High Intensity Statin Use Unless Contraindicated",,,,,,,,,,,,,,,
Quality,RAS (KRAS and NRAS) Gene Mutation Testing Performed for Patients with Metastatic Colorectal Cancer who Receive Anti-epidermal Growth Factor Receptor (EGFR) Monoclonal Antibody Therapy,,,,451,,,Percentage of adult patients (aged 18 or over) with metastatic colorectal cancer who receive anti-epidermal growth factor receptor (EGFR) monoclonal antibody (MoAb) therapy for whom RAS (KRAS and NRAS) gene mutation testing was performed before initiation of anti-EGFR MoAb.,,,,,,,,,,,,,,,
Quality,,CMS645v9,,,462,,,"Patients determined as having prostate cancer who are currently starting or undergoing androgen deprivation therapy (ADT), for an anticipated period of 12 months or greater and who receive an initial bone density evaluation. The bone density evaluation must be prior to the start of ADT or within 3 months of the start of ADT.",,,,,,,,,,,,,,,
