Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,,,,,185,,,,,,,2026,,,,,,,,,,,
Quality,,,,,264,,,,,,,2026,,,,,,,,,,,
Quality,,,,,290,,,,,,,2026,,,,,,,,,,,
Quality,,,,,322,,,,,,,2026,,,,,,,,,,,
Quality,,,,,419,,,,,,,2026,,,,,,,,,,,
Quality,,,,,424,,,,,,,2026,,,,,,,,,,,
Quality,,,,,443,,,,,,,2026,,,,,,,,,,,
Quality,,,,,487,,,,,,,2026,,,,,,,,,,,
Quality,,,,,498,,,,,,,2026,,,,,,,,,,,
Quality,,,,,508,,,,,,,2026,,,,,,,,,,,
Quality,Prevalent Standardized Kidney Transplant Waitlist Ratio (PSWR),,,,512,Centers for Medicare & Medicaid Services,,"The number of prevalent dialysis patients in a practitioner group who are under the age of 75 and were listed on the kidney or kidney-pancreas transplant waitlist or received a living donor transplant. The practitioner group is inclusive of physicians and advanced practice providers. The measure is the ratio-observed number of waitlist events in a practitioner group to its expected number of waitlist events. The measure uses the expected waitlist events calculated from a Cox model, which is adjusted for age, patient comorbidities, and other risk factors at the time of dialysis.",Process,N,2026,,MIPS CQM,Nephrology,N,nonProportion,,,,,,,Y
Quality,Patient Reported Falls and Plan of Care,,,,513,American Academy of Neurology,,"Percentage of patients (or caregivers as appropriate) with an active diagnosis of a movement disorder, multiple sclerosis, a neuromuscular disorder, dementia, or stroke who reported a fall occurred and those that fell had a plan of care for falls documented at every visit.",Process,Y,2026,,MIPS CQM,Neurology,N,multiPerformanceRate,split,,,,,,N
Quality,Diagnostic Delay of Venous Thromboembolism in Primary Care,,,,514,Brigham and Women's Hospital,,Percentage of episodes for patients 18 years of age and older with documented Venous Thromboembolism (VTE) symptoms in the primary care setting and who had a diagnosis of VTE that occurs > 24 hours and within 30 days following the index primary care visit where symptoms for the VTE were first present.,Intermediate Outcome,Y,2026,,eCQM,Family Medicine,Y,singlePerformanceRate,,,,,,,N
Quality,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,,,,515,American Medical Association,,Percentage of adult patients with risk factors for type 2 diabetes who are due for glycemic screening for whom the screening process was completed during the measurement period.,Process,N,2026,,eCQM,"Family Medicine, Internal Medicine",N,singlePerformanceRate,,,,,,,N
Quality,Hepatitis C Virus (HCV): Sustained Virological Response (SVR),,,,516,American Gastroenterological Association,,Percentage of patients aged greater than or equal to 18 years with active hepatitis C (HCV) with negative/undetectable HCV ribonucleic acid (RNA) at least 20 weeks to 12 months after positive/detectable HCV RNA test result.,Outcome,Y,2026,,MIPS CQM,"Family Medicine, Gastro-enterology, Infectious Disease, Internal Medicine",N,singlePerformanceRate,,,,,,,N
