Category,Measure ID,Measure Title,Measure Description,First Performance Year,Year Removed,Subcategory Name
Value: IA,,,,,Enter current PY if measure is to be removed,"Values:  Advancing Health and Wellness, Behavioral And Mental Health, Beneficiary Engagement, Care Coordination, Emergency Response And Preparedness, Expanded Practice Access, Patient Safety And Practice Assessment, Population Management, NULL"
IA,IA_BMH_4,"Depression Screening, Treatment, and Prevention","MIPS-eligible clinicians or groups regularly engage in integrated screening, treatment, and/or prevention interventions for patients with behavioral or mental health conditions, with a focus on early identification and coordinated management of major depressive disorder and associated risks. This activity includes systematic depression screening and follow-up planning, along with suicide risk assessment for individuals at elevated risk.
Clinicians participating in this activity should implement and document:
• Use of validated depression screening tools administered at appropriate intervals for patients
• Completion of suicide risk assessments when clinically indicated, using standardized tools for patients who screen positive for depression or exhibit mental-illness warning signs
• Development and execution of evidence‑based follow-up plans, including safety planning, symptom management, referral to behavioral health specialists, and monitoring of treatment response
• Integrated, team‑based coordination of care between primary care, behavioral health, psychiatry, and other relevant specialties to support continuity, patient safety, and positive patient outcomes
• Routine monitoring and reassessment, including documentation of treatment adjustments, patient (and/or family/caregiver) engagement, and adherence to follow-up intervals consistent with clinical guidelines.",,,
IA,IA_CC_8,Implementation of Documentation and/or Operational Improvements for Practice/Process Improvements,"This activity aims to strengthen communication, transparency, and patient‑centered care across all transitions—outpatient, inpatient, specialty, and community settings. It seeks to promote clinicians' proactively coordinating care, tracking patient progress, documenting actions taken, and maintaining clear, structured processes that reduce fragmentation and improve clinical outcomes. This activity may include:
• Documentation of care coordination encounters that track all clinical staff involved, communication steps, and handoffs from the time a patient is scheduled for an outpatient procedure or referral through completion of the episode of care
• Systematic tracking of patients referred to consultants or specialists, including confirmation that the referral was received, appointments were completed, and recommendations were integrated into the plan of care
• Documentation of care transition practices reflecting a patient‑centered action plan aligned with the patient’s values, preferences, and social context
• Implementation of care coordination agreements with frequently used consultants or facilities that set expectations for timely, bidirectional information sharing and clearly define responsibilities across settings.",,,
IA,IA_CC_9,Implementation of Practices/Processes for Developing Regular Individual Care Plans,"Implementation of practices/processes, including a discussion about care goals and preferences, to develop regularly updated individual care plans for at-risk patients that are developed and shared with the beneficiary and family and/or caregiver(s). Individual care plans should include consideration of a patient’s (and family/caregiver’s, as appropriate) goals and priorities, as well as desired outcomes of care.",,,
IA,IA_PM_4,"Glycemic Screening, Referral, and Management","For outpatient Medicare beneficiaries, MIPS-eligible clinicians and groups must attest to having: 
For the first performance year, at least 60 percent of medical records with documentation of screening patients for abnormal blood glucose, referring eligible patients with prediabetes to a CDC-recognized diabetes prevention program, and developing individualized glycemic treatment plans that: 
a) Consider patient-specific factors, including, at least 1) age, 2) comorbidities, and 3) risk for hypoglycemia, and
b) Are reassessed at least annually.
The performance threshold will increase to 75 percent for the second performance year and onward.

Clinicians must attest that 60 percent (for the first year) and 75 percent (for the second year and beyond) of their medical records include documentation of screening patients for abnormal blood glucose according to current US Preventive Services Task Force (USPSTF) and/or American Diabetes Association (ADA) guidelines.
Clinicians must attest that 60 percent (for the first year) and 75 percent (for the second year and beyond) of their medical records include documentation of referring eligible patients with prediabetes to a CDC-recognized diabetes prevention program operating under the framework of the National Diabetes Prevention Program.
Clinicians must attest that 60 percent (for the first year) and 75 percent (for the second year and beyond) of their medical records document individualized glycemic treatment plans representing patients who are being seen for at least 90 days during the performance period.",,,
IA,IA_PSPA_16,"Use decision support—ideally platform-agnostic, interoperable clinical decision support (CDS) tools, including AI-enabled predictive decision-support interventions—and standardized treatment protocols to manage workflow on the care team to meet patient needs","MIPS-eligible clinicians use platform-agnostic, interoperable clinical decision support (CDS) tools—including artificial intelligence (AI)-enabled predictive decision-support interventions—to guide care-team workflow and support evidence-based, patient-centered decision-making. As part of this activity, clinicians prioritize open-source or freely available CDS tools where feasible and implement organizational policies to ensure the safe, appropriate, and effective use of these technologies.
This activity may include:
• Use of interoperable CDS tools, including AI-enabled technologies that meet the ONC definition of predictive decision-support interventions in 45 CFR 170.102: ""technology that supports decision-making based on algorithms or models that derive relationships from training data and then produce an output that results in prediction, classification, recommendation, evaluation, or analysis""
• Organizational policies for safe CDS and AI use, including processes to identify, review, and mitigate AI-related adverse events or near‑misses, and to address clinician concerns about liability, model reliability, and appropriate use
• Evaluation of AI-enabled CDS tools using the following quality principles: 
○ Fairness: outputs free from bias or undue risk
○ Appropriateness: relevance to the clinical context
○ Validity: accurate and reliable predictions or recommendations
○ Effectiveness: demonstrated benefit in real‑world use
• Workflow integration practices showing that CDS recommendations—whether originally human‑curated or AI‑generated—are applied consistently in treatment planning, patient counseling, and follow-up
• Periodic review and updating of CDS tools and related protocols to maintain alignment with best practices, organizational policies, and patient‑safety standards.",,,
IA,IA_BE_15,,,,2027,
IA,IA_BMH_5,,,,2027,
IA,IA_CC_10,,,,2027,
IA,IA_CC_11,,,,2027,
IA,IA_CC_12,,,,2027,
IA,IA_CC_16,,,,2027,
IA,IA_EPA_4,,,,2027,
IA,IA_PM_2,,,,2027,
IA,IA_PM_19,,,,2027,
IA,IA_PM_20,,,,2027,
IA,IA_PSPA_2,,,,2027,
