Title,Quality ID
UrinaryIncontinenceCare,48
UrinaryIncontinenceCare,50
DiabeticCare,1
DiabeticCare,117
DiabeticCare,128
LungCare,51
LungCare,52
LungCare,130
EmergencyCare,254
EmergencyCare,255
"Ear,Nose,&ThroatCare",91
"Ear,Nose,&ThroatCare",93
Pathology,249
Pathology,250
AppropriateFollow-UpImaging,405
AppropriateFollow-UpImaging,406
EyeCare,12
EyeCare,14
EyeCare,19
EyeCare,117
EyeCare,141
SurgicalCare,21
SurgicalCare,23
SurgicalCare,47
ChiropracticCare,131
ChiropracticCare,182
PathologyLungCancer,395
PathologyLungCancer,396
HeadacheCare,419
HeadacheCare,435
ImmunizationCare,110
ImmunizationCare,111
GeneralCare,130
GeneralCare,226
GeneralCare,134
GeneralCare,317
PreventiveCare,112
PreventiveCare,113
PreventiveCare,130
PreventiveCare,317
ColonoscopyCare,130
ColonoscopyCare,425
