Vendor ID,measureId,title,description,NQS Domain ,Numerator,Denominator,Denominator Exclusions ,Denominator Exceptions ,Numerator Exclusions ,Number of performance rates to be  submitted                                                  ,"Indicate an Overall Performance Rate if more than 1 performance rate is to be submitted.                                        Specify which of the submitted rates will represent an overall performance rate for the measure or how an overall performance rate could be calculated based on the data submitted [for example, simple average of the performance rates submitted or weighted average (sum of the numerators divided by the sum of the denominators), etc.]                                                           (REQUIRED)",measureType,High Priority,Outcome,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Is the Measure Risk-Adjusted   ,Primary Steward,nqfId,firstPerformanceYear
6273354,AAAAI11,Asthma Assessment and Classification,Percentage of patients aged 5 years and older with asthma and documentation of an asthma assessment and classification. National Quality Strategy Domain: Effective Clinical Care Process Measure,Effective Clinical Care,Patients aged 5 years and older with a diagnosis of asthma and documentation of an asthma assessment and classification.,Patients aged 5 years and older with a documented diagnosis of asthma.,N/A,N/A,N/A,1,N/A,Process,N/A,N/A,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI12,Lung Function/Spirometry Evaluation,Percentage of patients aged 5 years and older with asthma and documentation of a spirometry evaluation. National Quality Strategy Domain: Effective Clinical Care Process Measure,Effective Clinical Care,"Patients aged 5 years and older with a diagnosis of asthma and documentation of a spirometry evaluation, unless a physical inability exists.",Patients aged 5 years and older with a documented diagnosis of asthma.,N/A,N/A,N/A,1,N/A,Process,N/A,N/A,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI17,Asthma Control: Minimal Important Difference Improvement,"Percentage of patients aged 12 years and older whose asthma is not well-controlled as indicated by the Asthma Control Test, Asthma Control Questionnaire, or Asthma Therapy Assessment Questionnaire and who demonstrated a minimal important difference improvement upon a subsequent office visit during the 12-month reporting period. National Quality Strategy Domain: Person and Caregiver-Centered Experience and Outcomes Outcome Measure",Person and Care-giver-Centered Experiences and Outcomes,"Patients who demonstrate a minimal important difference (MID) improvement using one of the following three asthma assessment patient-completed questionnaires:<ul>
<li>Change in the Asthma Control Test (ACT) by age; 3 points Change in Asthma Control Questionnaire (ACQ) by age; 0.5 points Change in Asthma Therapy Assessment Questionnaire (ATAQ) by age; 1 point","All patients aged 12 years or older whose asthma is not well-controlled and who had at least one follow-up ACT, ACQ, or ATAQ within the 12-month reporting period.",Patients with a diagnosis of COPD.,"Medical reason(s) for patient not demonstrating MID improvement (e.g., respiratory infection within 4 weeks of follow-up visit)","Medical Performance Exclusion: Medical reason(s) for patient not demonstrating MID
improvement (eg, respiratory infection within 4 weeks of follow-up visit)

Patient Performance Exclusion: Patient reasons for not demonstrating MID improvement
(eg, patients with poor adherence to controller therapy as determined by self-report or pharmacy records (per cent of
days covered < 50 %))
",1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI18,Penicillin Allergy: Appropriate Removal or Confirmation,"Percentage of patients, regardless of age, with a primary diagnosis of penicillin or ampicillin/amoxicillin allergy, who underwent elective skin testing or antibiotic challenge that resulted in the removal of the penicillin or ampicillin/amoxicillin allergy label from the medical record if negative or confirmation of the penicillin or ampicillin/amoxicillin allergy label if positive. National Quality Strategy Domain: Communication and Care Coordination Outcome Measure",Communication and Care Coordination,Patients who underwent elective skin testing or penicillin challenge AND who had the penicillin or ampicillin/amoxicillin allergy label removed from the medical record if results were negative or confirmed in the medical record if results were positive.,"All patients, regardless of age, with a diagnosis of primary penicillin or ampicillin/amoxicillin allergy seen during the reporting period.",Patients with a diagnosis of Steven-John Syndrome or Serum-Sickness.,"Medical reason(s) for not documenting and reviewing results (e.g., previous positive penicillin skin test, patients with severe anaphylaxis to penicillin within the past 5 years, patients with penicillin reaction histories consistent with severe non-IgE-mediated reactions, significant comorbid disease and patients unable to discontinue medications with antihistaminic effects or beta-blockers).

Patient reason(s) for not documenting and reviewing results (e.g., patients who decline or are non-adherent with skin testing/challenge recommendations)","Medical Performance Exclusion: Medical reason(s) for not documenting and reviewing (eg, previous positive penicillin skin test, patients with severe anaphylaxis to penicillin within the past 5 years, patients with penicillin reaction histories consistent with severe non-IgE-mediated reactions,
significant comorbid disease and patients unable to discontinue medications with antihistaminic effects or beta-blockers)

Patient Performance Exclusion: Patient reason(s) for not documenting and reviewing results (eg, patients who decline or are non-adherent with skin testing/challenge recommendations)
",1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI2,Asthma: Assessment of Asthma Control – Ambulatory Care Setting,Percentage of patients aged 5 years and older with a diagnosis of asthma who were evaluated at least once during the measurement period for asthma control (comprising asthma impairment and asthma risk). National Quality Strategy Domain: Effective Clinical Care Process Measure ,Effective Clinical Care,Patients who were evaluated at least once during the measurement period for asthma control.,All patients aged 5 years and older with a diagnosis of asthma.,N/A,N/A,N/A,1,N/A,Process,N/A,N/A,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI6,Documentation of Clinical Response to Allergen Immunotherapy within One Year,Percentage of patients aged 5 years and older who were evaluated for clinical improvement and efficacy within one year after initiating allergen immunotherapy AND assessment documented in the medical record. National Quality Strategy Domain: Communication and Care Coordination Process Measure,Communication and Care Coordination,Patients who were evaluated for clinical improvement and efficacy at least once within the first year of treatment with assessment documented in the medical record.,All patients aged 5 years and older who initiated allergen immunotherapy within one year prior to the date of encounter.,"Patients who, at any point, discontinued the allergen immunotherapy regimen in the twelve months after initiation.",N/A,N/A,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI8,Achievement of Projected Effective Dose of Standardized Allergens for Patient Treated With Allergen Immunotherapy for at Least One Year ,"Proportion of patients receiving subcutaneous allergen immunotherapy that contains at least one standardized extract (mite, ragweed, grass, and/or cat) who achieved the projected effective dose for all included standardized allergen extract(s) after at least one year of treatment. National Quality Strategy Domain: Effective Clinical Care Outcome Measure",Effective Clinical Care,Patients who achieved the projected effective dose for all standardized extracts included in the prescription.,All patients aged 5 years and older who received subcutaneous allergen immunotherapy for at least one year containing at least one standardized antigen.,N/A,"1. Documentation of medical reasons for not achieving the projected effective dose such as local or systemic reactions, interruptions in therapy due to co-morbid conditions (e.g. pregnancy) or patient intolerance to the projected effective dose.

2. Documentation of patient reason(s) for not achieving the projected effective dose such as interruptions in therapy due to noncompliance.

3. Patients  receiving allergen immunotherapy prescribed and prepared by eligible professional by an outside entity (providing supervision only)
","Medical Performance Exclusion: Documentation of medical reasons for not achieving the projected effective dose such as local or systemic reactions, interruptions in therapy due to co-morbid conditions (e.g. pregnancy) or patient intolerance to the projected effective dose

Patient Performance Exclusion: Documentation of patient reason(s) for not achieving the projected effective dose such as interruptions in therapy due to noncompliance

Other Performance Exclusion: Patients who are receiving allergen immunotherapy prescribed and prepared by eligible professional by an outside entity (providing supervision only)

",1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
6273354,AAAAI9,Assessment of Asthma Symptoms Prior to Administration of Allergen Immunotherapy Injection(s) ,Percentage of patients aged 5 years and older with a diagnosis of asthma who are receiving subcutaneous allergen immunotherapy with a documented assessment of asthma symptoms prior to administration of allergen immunotherapy injections. National Quality Strategy Domain: Patient Safety Process Measure,Patient Safety,Patients with documentation of an asthma symptom assessment prior to administration of allergen immunotherapy injection(s).,All patients aged 5 years and older with a diagnosis of asthma AND who are receiving subcutaneous allergen immunotherapy.,N/A,N/A,N/A,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",N/A,2017
4649789,AAD1 ,Psoriasis: Assessment of Psoriasis Disease Activity,Percentage of patients with plaque psoriasis who have disease activity assessed by using one of the listed measures or validated instruments/ tools at least once during the performance period. ,Effective Clinical Care,A psoriasis patient’s disease activity is assessed and documented in the medical record using any of the listed measures or validated instruments/ tools at least once during the performance period.,All patients aged 18 and older with a diagnosis of plaque psoriasis.,Patients with a psoriasis type other than plaque psoriasis (psoriasis vulgaris).,None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,AAD'S DataDerm,N/A,2017
4649789,AAD2,Psoriasis: Screening for Psoriatic Arthritis,Percentage of patients with diagnosis of psoriasis that are screened for psoriatic arthritis at least once during the performance period. ,Person and Care-giver-Centered Experiences and Outcomes,Patients with psoriasis (any type) are screened for psoriatic arthritis by documenting in the medical record the presence or absence of joint symptoms at least once during the performance period.,All patients aged 18 and older with a diagnosis of psoriasis.,Patients with existing diagnosis of psoriatic arthritis. ,None,None,1,N/A,Process,High Priority,N/A,N,Y,N,N,N,AAD'S DataDerm,N/A,2017
