title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,generalPracticeFamilyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,generalOncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isToppedOutByProgram
,,,,,,,,,methods,,,methods,,,measureSets,,,measureSets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measureSpecification,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"metricType (required)



possible values:



boolean, proportion, singlePerformanceRate, multiPerformanceRate, registrySinglePerformanceRate, registryMultiPerformanceRate, nonProportion, cahps



for definitions: review https://cmsgov.github.io/qpp-submissions-docs/measurements","firstPerformanceYear (required)



Year in which the measure was introduced



The API  will default to 2017 if this column is left blank","lastPerformanceYear (required)



Year in which the measure was deprecated.



The API will default to null if this column is left blank","eMeasureUuid (optional)



UUID for Electronic Clinical Quality Measures (ECQM)","isHighPriority (required)



If true, can be used in the place of an outcome measure to satisfy quality category requirements.



Possible values: true, false","isInverse (required)



If true, a lower performance rate correlates with better performance.



Possible values: true, false","# of performance rate strata (required) Claims



must be 1 or more","# of performance rate strata (required) Registry



must be 1 or more","# of performance rate strata (required) eCQM



must be 1 or more","overallAlgorithm (required if there is more than one performance rate stratum)



Formula to determine the overall performance rate, given multiple strata of performance rates. Only applicable to multiPerformanceRate measures.



Possible values: simpleAverage, weightedAverage, sumNumerators, overallStratumOnly",,,,,,,
Diabetes: Hemoglobin A1c (HbA1c) Poor Control (>9%),CMS122v6,N/A,59,1,Percentage of patients 18-75 years of age with diabetes who had hemoglobin A1c > 9.0% during the measurement period,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,X,-,X,X,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,singlePerformanceRate,2017,NULL,,TRUE,TRUE,1,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_001_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_001_Claims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2018_WI_DM.pdf,https://ecqi.healthit.gov/ecqm/measures/cms122v6,FALSE,FALSE
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD) ,CMS135v6,2907,"
0081
",5,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed ACE inhibitor or ARB therapy either within a 12 month period when seen in the outpatient setting OR at each hospital discharge,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_005_Registry.pdf,,,https://ecqi.healthit.gov/ecqm/measures/cms135v6,FALSE,FALSE
Coronary Artery Disease (CAD): Antiplatelet Therapy ,N/A,N/A,67,6,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease (CAD) seen within a 12 month period who were prescribed aspirin or clopidogrel,Effective Clinical Care,Process,American Heart Association,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_006_Registry.pdf,,,,FALSE,FALSE
Coronary Artery Disease (CAD): Beta-Blocker Therapy - Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),CMS145v6,N/A,"
0070
",7,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12-month period who also have a prior MI OR a current or prior LVEF <40% who were prescribed beta-blocker therapy,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,NULL,,FALSE,FALSE,NULL,2,2,weightedAverage,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_007_Registry.pdf,,,https://ecqi.healthit.gov/ecqm/measures/cms145v6,FALSE,FALSE
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS144v6,2908,83,8,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed beta-blocker therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,NULL,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_008_Registry.pdf,,,https://ecqi.healthit.gov/ecqm/measures/cms144v6,FALSE,FALSE
Anti-Depressant Medication Management,CMS128v6,N/A,105,9,"Percentage of patients 18 years of age and older who were treated with antidepressant medication, had a diagnosis of major depression, and who remained on an antidepressant medication treatment. Two rates are reported:
a Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks)
b Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months)
",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,NULL,,FALSE,FALSE,NULL,NULL,2,simpleAverage,,,,,https://ecqi.healthit.gov/ecqm/measures/cms128v6,FALSE,FALSE
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,CMS143v6,N/A,86,12,Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) who have an optic nerve head evaluation during one or more office visits within 12 months,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,1,1,1,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_012_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_012_Claims.pdf,,https://ecqi.healthit.gov/ecqm/measures/cms143v6,FALSE,FALSE
Age-Related Macular Degeneration (AMD): Dilated Macular Examination ,N/A,N/A,87,14,Percentage of patients aged 50 years and older with a diagnosis of age-related macular degeneration (AMD) who had a dilated macular examination performed which included documentation of the presence or absence of macular thickening or geographic atrophy or hemorrhage AND the level of macular degeneration severity during one or more office visits within 12 months,Effective Clinical Care,Process,American Academy of Ophthalmology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,NULL,,FALSE,FALSE,1,1,NULL,,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_014_Registry.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2018_Measure_014_Claims.pdf,,,FALSE,FALSE
