measureId,title,description,isRequired,metricType,firstPerformanceYear,weight,objective,isBonus,reportingCategory,substitutes,exclusion,measureSpecification
PI_PPHI_1,Security Risk Analysis,"Conduct or review a security risk analysis in accordance with the requirements in 45 CFR 164.308(a)(1), including addressing the security (to include encryption) of ePHI data created or maintained by certified electronic health record technology (CEHRT) in accordance with requirements in 45 CFR 164.312(a)(2)(iv) and 164.306(d)(3), implement security updates as necessary, and correct identified security deficiencies as part of the MIPS eligible clinician's risk management process.","TRUE",boolean,2017,0,"Protect Patient Health Information",FALSE,required,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresSecurityRiskAnalysis.pdf
"PI_ONCDIR_1",ONC Direct Review Attestation,"I attest that I - (1) Acknowledge the requirement to cooperate in good faith with ONC direct review of his or her health information technology certified under the ONC Health IT Certification Program if a request to assist in ONC direct review is received; and (2) If requested, cooperated in good faith with ONC direct review of his or her health information technology certified under the ONC Health IT Certification Program as authorized by 45 CFR part 170, subpart E, to the extent that such technology meets (or can be used to meet) the definition of CEHRT, including by permitting timely access to such technology and demonstrating its capabilities as implemented and used by the MIPS eligible clinician in the field.","TRUE",boolean,2017,0,attestation,FALSE,required,,,
"PI_INFBLO_1",Prevention of Information Blocking Attestation,"I attest to CMS that I - (A) did not knowingly and willfully take action (such as to disable functionality) to limit or restrict the compatibility or interoperability of certified EHR technology. (B) Implemented technologies, standards, policies, practices, and agreements reasonably calculated to ensure, to the greatest extent practicable and permitted by law, that the certified EHR technology was, at all relevant times: (1) Connected in accordance with applicable law; (2) Compliant with all standards applicable to the exchange of information, including the standards, implementation specifications, and certification criteria adopted at 45 CFR part 170;  (3) Implemented in a manner that allowed for timely access by patients to their electronic health information; and (4) Implemented in a manner that allowed for the timely, secure, and trusted bi-directional exchange of structured electronic health information with other health care providers (as defined by 42 U.S.C. 300jj(3)), including unaffiliated health care providers, and with disparate certified EHR technology and vendors. (C) Responded in good faith and in a timely manner to requests to retrieve or exchange electronic health information, including from patients, health care providers (as defined by 42 U.S.C. 300jj(3)), and other persons, regardless of the requestor's affiliation or technology vendor.","TRUE",boolean,2017,0,attestation,FALSE,required,,,
"PI_ONCACB_1",ONC-ACB Surveillance Attestation ,"I have (1) Acknowledged the option to cooperate in good faith with ONC-ACB surveillance of his or her health information technology certified under the ONC Health IT Certification Program if a request to assist in ONC-ACB surveillance is received; and (2) If requested, cooperated in good faith with ONC-ACB surveillance of his or her health information technology certified under the ONC Health IT Certification Program as authorized by 45 CFR part 170, subpart E, to the extent that such technology meets (or can be used to meet) the definition of CEHRT, including by permitting timely access to such technology and demonstrating its capabilities as implemented and used by the MIPS eligible clinician in the field.",FALSE,boolean,2017,0,attestation,FALSE,,,,
PI_EP_1,e-Prescribing,At least one permissible prescription written by the MIPS eligible clinician is queried for a drug formulary and transmitted electronically using CEHRT.,TRUE,proportion,2017,10,electronicPrescribing,FALSE,required,,PI_LVPP_1,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresEPrescribing.pdf
PI_LVPP_1,e-Prescribing Exclusion,Any MIPS eligible clinician who writes fewer than 100 permissible prescriptions during the performance period.,FALSE ,boolean,2017,0,electronicPrescribing,FALSE,exclusion ,,,
PI_EP_2,Query of the Prescription Drug Monitoring Program (PDMP),"For at least one Schedule II opioid electronically prescribed using CEHRT during the performance period, the MIPS eligible clinician uses data from CEHRT to conduct a query of a Prescription Drug Monitoring Program (PDMP) for prescription drug history, except where prohibited and in accordance with applicable law.",FALSE,boolean,2019,5,electronicPrescribing,TRUE,"bonus",,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresQueryofPrescriptionDrugMonitoringProgram(PDMP).pdf
PI_EP_3,Verify Opioid Treatment Agreement,"For at least one unique patient for whom a Schedule II opioid was electronically prescribed by the MIPS eligible clinician using CEHRT during the performance period, if the total duration of the patient's Schedule II opioid prescriptions is at least 30 cumulative days within a 6-month look-back period, the MIPS eligible clinician seeks to identify the existence of a signed opioid treatment agreement and incorporates it into the patient's electronic health record using CEHRT.",FALSE,proportion,2019,5,electronicPrescribing,TRUE,bonus,,,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresVerifyOpioidTreatmentAgreement.pdf
PI_HIE_1,Support Electronic Referral Loops By Sending Health Information ,"For at least one transition of care or referral, the MIPS eligible clinician that transitions or refers their patient to another setting of care or health care provider - (1) creates a summary of care record using certified electronic health record technology (CEHRT); and (2) electronically exchanges the summary of care record.",TRUE,proportion,2017,20,Health Information Exchange,FALSE,required,,PI_LVOTC_1,https://qpp.cms.gov/docs/pi_specifications/Measure%20Specifications/2019MIPSPIMeasuresSupportElectronicReferralLoopsbySendingHealthInfo.pdf
PI_LVOTC_1,Support Electronic Referral Loops By Sending Health Information Exclusion,Any MIPS eligible clinician who transfers a patient to another setting or refers a patient fewer than 100 times during the performance period.,FALSE ,boolean,2017,0,Health Information Exchange,FALSE,exclusion ,,,
