title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"metricType (required)



possible values:



boolean, proportion, singlePerformanceRate, multiPerformanceRate, registrySinglePerformanceRate, registryMultiPerformanceRate, nonProportion, cahps



for definitions: review https://cmsgov.github.io/qpp-submissions-docs/measurements","firstPerformanceYear (required)



Year in which the measure was introduced



The API  will default to 2017 if this column is left blank","lastPerformanceYear (required)



Year in which the measure was deprecated.



The API will default to null if this column is left blank","eMeasureUuid (optional)



UUID for Electronic Clinical Quality Measures (ECQM)","isHighPriority (required)



If true, can be used in the place of an outcome measure to satisfy quality category requirements.



Possible values: true, false","isInverse (required)



If true, a lower performance rate correlates with better performance.



Possible values: true, false","# of performance rate strata (required) Claims



must be 1 or more","# of performance rate strata (required) Registry



must be 1 or more","# of performance rate strata (required) eCQM



must be 1 or more","overallAlgorithm (required if there is more than one performance rate stratum)



Formula to determine the overall performance rate, given multiple strata of performance rates. Only applicable to multiPerformanceRate measures.



Possible values: simpleAverage, weightedAverage, sumNumerators, overallStratumOnly",measureSpecification,,,,,,"Whether or not the clinical guidelines for this measure have changed. This may happen if the existing measure specification could result in patient harm or otherwise provide misleading results as to good quality care.



Possible values: true, false"
,,,,,,,,,methods,,,,,,measureSets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes: Hemoglobin A1c (HbA1c) Poor Control (>9%),CMS122v7,N/A,59,1,Percentage of patients 18-75 years of age with diabetes who had hemoglobin A1c > 9.0% during the measurement period,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,X,-,X,X,-,X,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,TRUE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_001_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_001_MedicarePartBClaims.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2019_Measure_DM2_CMSWebInterface_UPDATED.pdf,https://ecqi.healthit.gov/ecqm/ep/2019/cms122v7,FALSE,FALSE
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS135v7,0081e,81,5,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed ACE inhibitor or ARB therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_005_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms135v7,FALSE,FALSE
Coronary Artery Disease (CAD): Antiplatelet Therapy,N/A,N/A,67,6,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease (CAD) seen within a 12 month period who were prescribed aspirin or clopidogrel,Effective Clinical Care,Process,American Heart Association,-,-,-,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_006_MIPSCQM.pdf,,,,FALSE,FALSE
Coronary Artery Disease (CAD): Beta-Blocker Therapy - Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),CMS145v7,N/A,70,7,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12-month period who also have a prior MI or a current or prior LVEF < 40% who were prescribed beta-blocker therapy,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,2,,"weightedAverage
",,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_007_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms145v7,FALSE,FALSE
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS144v7,0083e,83,8,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed beta-blocker therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,X,-,-,X,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_008_MIPSCQM.pdf,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms144v7,FALSE,FALSE
Anti-Depressant Medication Management,CMS128v7,N/A,105,9,"Percentage of patients 18 years of age and older who were treated with antidepressant medication, had a diagnosis of major depression, and who remained on an antidepressant medication treatment. Two rates are reported. 
a. Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). 
b. Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months)",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,FALSE,FALSE,,2,,simpleAverage,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms128v7,FALSE,FALSE
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,CMS143v7,N/A,86,12,Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) who have an optic nerve head evaluation during one or more office visits within 12 months,Effective Clinical Care,Process,Physician Consortium for Performance Improvement,X,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_012_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_012_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms143v7,FALSE,FALSE
Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N/A,N/A,87,14,Percentage of patients aged 50 years and older with a diagnosis of age-related macular degeneration (AMD) who had a dilated macular examination performed which included documentation of the presence or absence of macular thickening or geographic atrophy or hemorrhage AND the level of macular degeneration severity during one or more office visits within the 12 month performance period,Effective Clinical Care,Process,American Academy of Ophthalmology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_014_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_014_MedicarePartBClaims.pdf,,,FALSE,FALSE
