link,measureId
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-aki-new-hd.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-cataract.pdf,COST_IOL_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-el-ha.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-fihr.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-hd-access.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ich-cva.pdf,COST_IHCI_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ip-copd.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-knee-arthro.pdf,COST_KA_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-l-fusion.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-lgi-bleed.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-lump-mast.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ne-cabg.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-op-pci.pdf,COST_EOPCI_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-pna-hosp.pdf,COST_SPH_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-rleccli.pdf,COST_CCLI_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-rn-stone.pdf,
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ss-clnscpy.pdf,COST_SSC_1
https://qpp.cms.gov/docs/cost_specifications//2019-12-17-mif-ebcm-stemi-pci.pdf,COST_STEMI_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-mspb-clinician.pdf,MSPB_1
https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-tpcc.pdf,TPCC_1
