#,category,title,description,measureId,metricType,firstPerformanceYear,lastPerformanceYear,isInverse,overallAlgorithm,submissionMethods,default
1,cost,Medicare Spending Per Beneficiary (MSPB),The risk-adjusted cost to Medicare for all Parts A and B services performed for an inpatient beneficiary as a result of a clinician’s care during the period 3 days prior to the patient’s hospital stay through 30 days after discharge.,MSPB_1,costScore,2017,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-mspb-clinician.pdf
2,cost,Total Per Capita Costs (TPCC),"The overall, payment-standardized, annualized, risk-adjusted, and specialty-adjusted cost of care provided to beneficiaries attributed to their primary care clinicians.",TPCC_1,costScore,2017,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-tpcc.pdf
3,cost,Routine Cataract Removal with Intraocular Lens (IOL) Implantation,A clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo a procedure for routine cataract removal with IOL implantation during the performance period. Includes costs of services that are clinically related to the attributed clinician’s role in managing care from 60 days prior to the cataract removal procedure that triggers the episode through 90 days after the trigger.,COST_IOL_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-cataract.pdf
4,cost,Intracranial Hemorrhage or Cerebral Infarction,A clinician’s risk-adjusted cost to Medicare for beneficiaries hospitalized for cerebral infarction or intracranial hemorrhage during the performance period. Includes costs of services clinically related to the attributed clinician’s role in managing care from the inpatient hospitalization that triggers the episode through 90 days after the trigger.,COST_IHCI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ich-cva.pdf
5,cost,Knee Arthroplasty,A clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo an elective knee arthroplasty during the performance period. Includes costs of services clinically related to the attributed clinician’s role in managing care from 30 days prior to the knee arthroplasty that triggers the episode through 90 days after the trigger.,COST_KA_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-knee-arthro.pdf
6,cost,Elective Outpatient Percutaneous Coronary Intervention (PCI),A clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo elective outpatient PCI surgery to place a coronary stent for heart disease during the performance period. Includes costs of services clinically related to the attributed clinician’s role in managing care from the PCI surgery that triggers the episode through 30 days after the trigger.,COST_EOPCI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-op-pci.pdf
7,cost,Simple Pneumonia with Hospitalization,A clinician’s risk-adjusted cost to Medicare for beneficiaries hospitalized with simple pneumonia during the performance period. Includes costs of services that are clinically related to the attributed clinician’s role in managing care from the inpatient hospitalization that triggers the episode through 30 days after the trigger.,COST_SPH_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-pna-hosp.pdf
8,cost,Revascularization for Lower Extremity Chronic Critical Limb Ischemia,A clinician’s risk-adjusted cost to Medicare for beneficiaries who undergo elective revascularization surgery for lower extremity chronic critical limb ischemia during the performance period. Includes costs of services that are clinically related to the attributed clinician’s role in managing care from 30 days prior to the revascularization procedure that triggers the episode through 90 days after the trigger.,COST_CCLI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-rleccli.pdf
9,cost,Screening/Surveillance Colonoscopy,A clinician’s risk-adjusted cost to Medicare for beneficiaries who receive a screening/surveillance colonoscopy. Includes costs of services that are clinically related to the attributed clinician’s role in managing care from the screening/surveillance colonoscopy procedure that triggers the episode through 14 days after the trigger.,COST_SSC_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications/2019-12-17-mif-ebcm-ss-clnscpy.pdf
10,cost,ST-Elevation Myocardial Infarction (STEMI) with Percutaneous Coronary Intervention (PCI),"A clinician’s risk-adjusted cost to Medicare for beneficiaries who present with STEMI, indicating complete blockage of a coronary artery, who emergently receive PCI as treatment during the performance period. Includes costs of services that are clinically related to the attributed clinician’s role in managing care from the inpatient hospitalization that triggers the episode through 30 days after the trigger.",COST_STEMI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims,https://qpp.cms.gov/docs/cost_specifications//2019-12-17-mif-ebcm-stemi-pci.pdf
