QCDR Name,Measure ID,Measure Title,Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,"Proportional Measure
",Continuous Variable Measure  ,Ratio Measure  ,Number of performance rates to be submitted                                                  ,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI11,Asthma Assessment and Classification,"Percentage of patients aged 5 years and older with asthma and documentation of an asthma assessment and classification. National Quality Strategy Domain: Effective Clinical Care Process Measure

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI12,Lung Function/Spirometry Evaluation,"Percentage of patients aged 5 years and older with asthma and documentation of a spirometry evaluation. National Quality Strategy Domain: Effective Clinical Care Process Measure

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI17,Asthma Control: Minimal Important Difference Improvement,"Percentage of patients aged 12 years and older whose asthma is not well-controlled as indicated by the Asthma Control Test, Asthma Control Questionnaire, or Asthma Therapy Assessment Questionnaire and who demonstrated a minimal important difference improvement upon a subsequent office visit during the 12-month reporting period. National Quality Strategy Domain: Person and Caregiver-Centered Experience and Outcomes Outcome Measure

",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2015
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI18,Penicillin Allergy: Appropriate Removal or Confirmation,"Percentage of patients, regardless of age, with a primary diagnosis of penicillin or ampicillin/amoxicillin allergy, who underwent elective skin testing or antibiotic challenge that resulted in the removal of the penicillin or ampicillin/amoxicillin allergy label from the medical record if negative or confirmation of the penicillin or ampicillin/amoxicillin allergy label if positive. National Quality Strategy Domain: Communication and Care Coordination Outcome Measure

",N/A,Communication and Care Coordination,Yes,Outcome,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2015
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI2,Asthma: Assessment of Asthma Control – Ambulatory Care Setting,"Percentage of patients aged 5 years and older with a diagnosis of asthma who were evaluated at least once during the measurement period for asthma control (comprising asthma impairment and asthma risk). National Quality Strategy Domain: Effective Clinical Care Process Measure

",N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI6,Documentation of Clinical Response to Allergen Immunotherapy within One Year,"Percentage of patients aged 5 years and older who were evaluated for clinical improvement and efficacy within one year after initiating allergen immunotherapy AND assessment documented in the medical record. National Quality Strategy Domain: Communication and Care Coordination Process Measure

",N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI8,Achievement of Projected Effective Dose of Standardized Allergens for Patient Treated With Allergen Immunotherapy for at Least One Year,"Proportion of patients receiving subcutaneous allergen immunotherapy that contains at least one standardized extract (mite, ragweed, grass, and/or cat) who achieved the projected effective dose for all included standardized allergen extract(s) after at least one year of treatment. National Quality Strategy Domain: Effective Clinical Care Outcome Measure

",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014
AAD’s DataDerm™,AAD10,Dermatitis – Improvement in Patient-Reported Itch Severity,"The percentage of patients, aged 18 years and older, with a diagnosis of dermatitis where at an initial (index) visit have a patient reported itch severity assessments performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.

Performance Rate Descriptions:

simple average of the performance rates",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
AAD’s DataDerm™,AAD11,Skin Cancer Surgery: Post-Operative Complications,"Percentage of patients, regardless of age, with a diagnosis of basal cell carcinoma, squamous cell carcinoma, or melanoma (including in situ disease) with a post-operative complication including infection, bleeding, or hematoma following a scalpel-based surgical procedure or Mohs surgery within 15 days of the procedure.

Performance Rate Descriptions:

simple average of the performance rates",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,Yes,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
AAD’s DataDerm™,AAD12,Melanoma: – Appropriate Surgical Margins,"Percentage of primary excisional surgeries for melanoma or melanoma in situ with Breslow depth and appropriate surgical margins per the National Comprehensive Cancer Network Clinical Practice Guidelines in Oncology- Melanoma (NCCN Guideline).

Performance Rate Descriptions:

simple average of the performance rates",N/A,Patient Safety,Yes,Intermediate Outcome,No,Yes,No,No,1,N/A,No,AAD’s DataDerm™,2020
