QCDR Name,Measure ID,Measure Title,Measure Description,NQF Number  (if applicable),NQS Domain,High Priority,Measure Type,Inverse Measure,Proportional Measure,Continuous Variable Measure,Ratio Measure,Number of performance rates to be submitted,Overall Algorithm,Is the Measure Risk-Adjusted,Primary Steward,First Performance Year,Performance Rate Description,Submission Pathway
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI17,Asthma Control: Minimal Important Difference Improvement,"Percentage of patients aged 12 years and older whose asthma is not well-controlled as indicated by the Asthma Control Test, Asthma Control Questionnaire, or Asthma Therapy Assessment Questionnaire and who demonstrated a minimal important difference improvement upon a subsequent office visit during the 12-month reporting period. National Quality Strategy Domain: Person and Caregiver-Centered Experience and Outcomes Outcome Measure",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2015,N/A,Traditional MIPS
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI18,Penicillin Allergy: Appropriate Removal or Confirmation,"Percentage of patients, regardless of age, with a primary diagnosis of penicillin or ampicillin/amoxicillin allergy, who underwent elective skin testing or antibiotic challenge that resulted in the removal of the penicillin or ampicillin/amoxicillin allergy label from the medical record if negative or confirmation of the penicillin or ampicillin/amoxicillin allergy label if positive. National Quality Strategy Domain: Communication and Care Coordination Outcome Measure",N/A,Communication and Care Coordination,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2015,N/A,Traditional MIPS
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI2,Asthma: Assessment of Asthma Control – Ambulatory Care Setting,Percentage of patients aged 5 years and older with a diagnosis of asthma who were evaluated at least once during the measurement period for asthma control (comprising asthma impairment and asthma risk). National Quality Strategy Domain: Effective Clinical Care Process Measure,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014,N/A,Traditional MIPS
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI6,Documentation of Clinical Response to Allergen Immunotherapy within One Year,Percentage of patients aged 5 years and older who were evaluated for clinical improvement and efficacy within one year after initiating allergen immunotherapy AND assessment documented in the medical record. National Quality Strategy Domain: Communication and Care Coordination Process Measure,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014,N/A,Traditional MIPS
"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI8,Achievement of Projected Effective Dose of Standardized Allergens for Patient Treated With Allergen Immunotherapy for at Least One Year,"Proportion of patients receiving subcutaneous allergen immunotherapy that contains at least one standardized extract (mite, ragweed, grass, and/or cat) who achieved the projected effective dose for all included standardized allergen extract(s) after at least one year of treatment. National Quality Strategy Domain: Effective Clinical Care Outcome Measure",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014,N/A,Traditional MIPS
AAD’s DataDerm™,AAD10,Dermatitis – Improvement in Patient-Reported Itch Severity,"The percentage of patients, aged 18 years and older, with a diagnosis of dermatitis where at an initial (index) visit have a patient reported itch severity assessments performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient Reported Outcome (PRO),No,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
AAD’s DataDerm™,AAD11,Skin Cancer Surgery: Post-Operative Complications,"Percentage of patients, regardless of age, with a diagnosis of basal cell carcinoma, squamous cell carcinoma, or melanoma (including in situ disease) with a post-operative complication including infection, bleeding, or hematoma following a scalpel-based surgical procedure or Mohs surgery within 15 days of the procedure.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,Yes,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
AAD’s DataDerm™,AAD12,Melanoma: – Appropriate Surgical Margins,Percentage of primary excisional surgeries for melanoma or melanoma in situ with Breslow depth and appropriate surgical margins per the National Comprehensive Cancer Network Clinical Practice Guidelines in Oncology- Melanoma (NCCN Guideline).,N/A,Patient Safety,Yes,Intermediate Outcome,No,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
AAD’s DataDerm™,AAD6,Skin Cancer: Biopsy Reporting Time - Clinician to Patient,Percentage of patients with skin biopsy specimens with a diagnosis of cutaneous basal or squamous cell carcinoma or melanoma (including in situ disease) or primary cutaneous malignancies who are notified of their final biopsy pathology findings within less than or equal to 14 days from the time the biopsy was performed.,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
AAD’s DataDerm™,AAD7,Psoriasis: Screening for Psoriatic Arthritis,Percentage of patients with diagnosis of psoriasis who are screened for psoriatic arthritis at each visit.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
AAD’s DataDerm™,AAD8,Chronic Skin Conditions: Patient Reported Quality-of-Life,The percentage of patients aged 18 years and older with a chronic skin condition whose self-assessed quality-of-life was recorded at least once in the medical record within the measurement period.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,1st Performance Rate,No,AAD’s DataDerm™,2020,Simple average of the performance rates,Traditional MIPS
