link,eMeasureId,measureId
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_CARE-2_CMSWebInterface_v5.0.pdf,CARE-2,318
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_DM-2_CMSWebInterface_v5.0.pdf,DM-2,001
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_HTN2_CMSWebInterface_v5.0.pdf,HTN2,236
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_MH1_CMSWebInterface_v5.0.pdf,MH1,370
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_PREV10_CMSWebInterface_v5.0.pdf,PREV10,226
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_PREV12_CMSWebInterface_v5.0.pdf,PREV12,134
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_PREV13_CMSWebInterface_v5.0.pdf,PREV13,438
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_PREV5_CMSWebInterface_v5.0.pdf,PREV5,112
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_PREV6_CMSWebInterface_v5.0.pdf,PREV6,113
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Web-Interface-Measures/2021_Measure_PREV7_CMSWebInterface_v5.0.pdf,PREV7,110
