#,category,title,description,measureId,metricType,firstPerformanceYear,lastPerformanceYear,isInverse,overallAlgorithm,submissionMethods
1,cost,Medicare Spending Per Beneficiary (MSPB) Clinician,"The MSPB Clinician measure assesses the risk-adjusted cost to Medicare for services performed as a result of a clinician's care for a patient's inpatient hospital stay during the period 3 days prior to a hospital stay (also known as the “index admission” for the episode) through 30 days after discharge. The measure excludes costs from a defined list of services that are unlikely to be influenced by the clinician’s care decisions and are thus considered unrelated to the index admission. In all supplemental documentation, the term “cost” generally means the standardized Medicare allowed amount.",MSPB_1,costScore,2017,null,TRUE,simpleAverage,administrativeClaims
2,cost,Total Per Capita Cost (TPCC),"The TPCC measure assesses the overall cost of care delivered to a patient with a focus on the primary care they receive from their provider(s). The measure is payment-standardized, risk-adjusted, and specialty-adjusted. In all supplemental documentation, the term “cost” generally means the standardized Medicare allowed amount.",TPCC_1,costScore,2017,null,TRUE,simpleAverage,administrativeClaims
3,cost,Routine Cataract Removal with Intraocular Lens (IOL) Implantation,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Routine Cataract Removal with IOL Implantation episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who undergo a procedure for routine cataract removal with IOL implantation during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 60 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_IOL_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
4,cost,Intracranial Hemorrhage or Cerebral Infarction,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Intracranial Hemorrhage or Cerebral Infarction episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who receive inpatient treatment for cerebral infarction or intracranial hemorrhage during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This acute inpatient medical condition measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_IHCI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
5,cost,Knee Arthroplasty,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Knee Arthroplasty episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who receive an elective knee arthroplasty during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_KA_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
6,cost,Elective Outpatient Percutaneous Coronary Intervention (PCI),"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Elective Outpatient PCI episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who undergo elective outpatient PCI surgery to place a coronary stent for heart disease during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 30 days after the trigger.",COST_EOPCI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
7,cost,Simple Pneumonia with Hospitalization,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Simple Pneumonia with Hospitalization episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who receive inpatient treatment for simple pneumonia during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This acute inpatient medical condition measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 30 days after the trigger.",COST_SPH_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
8,cost,Revascularization for Lower Extremity Chronic Critical Limb Ischemia,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Revascularization for Lower Extremity Chronic Critical Limb Ischemia episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who undergo elective revascularization surgery for lower extremity chronic critical limb ischemia during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from 30 days prior to the clinical event that opens, or “triggers,” the episode through 90 days after the trigger.",COST_CCLI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
9,cost,Screening/Surveillance Colonoscopy,"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The Screening/Surveillance Colonoscopy episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who undergo a screening or surveillance colonoscopy procedure during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This procedural measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 14 days after the trigger.",COST_SSC_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
10,cost,ST-Elevation Myocardial Infarction (STEMI) with Percutaneous Coronary Intervention (PCI),"Episode-based cost measures represent the cost to Medicare for the items and services provided to a patient during an episode of care (“episode”). In all supplemental documentation, “cost” generally means the standardized Medicare allowed amount, and claims data from Medicare Parts A and B are used to construct the episode-based cost measures. 
The STEMI with PCI episode-based cost measure evaluates a clinician’s risk-adjusted cost to Medicare for patients who present with STEMI indicating complete blockage of a coronary artery who emergently receive PCI as treatment during the performance period. The measure score is the clinician’s risk-adjusted cost for the episode group averaged across all episodes attributed to the clinician. This acute inpatient medical condition measure includes costs of services that are clinically related to the attributed clinician’s role in managing care during each episode from the clinical event that opens, or “triggers,” the episode through 30 days after the trigger.",COST_STEMI_1,costScore,2019,null,TRUE,simpleAverage,administrativeClaims
