measureName,eMeasureId,link
Adult Major Depressive Disorder (MDD): Suicide Risk Assessment,CMS161v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms161v10
Appropriate Use of DXA Scans in Women Under 65 Years Who Do Not Meet the Risk Factor Profile for Osteoporotic Fracture,CMS249v4,https://ecqi.healthit.gov/ecqm/ep/2022/cms249v4
Bone density evaluation for patients with prostate cancer and receiving androgen deprivation therapy,CMS645v5,https://ecqi.healthit.gov/ecqm/ep/2022/cms645v5
Breast Cancer Screening,CMS125v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms125v10
Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery,CMS133v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms133v10
Cervical Cancer Screening,CMS124v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms124v10
Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment,CMS177v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms177v10
Childhood Immunization Status,CMS117v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms117v10
Children Who Have Dental Decay or Cavities,CMS75v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms075v10
Chlamydia Screening for Women,CMS153v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms153v10
Closing the Referral Loop: Receipt of Specialist Report,CMS50v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms050v10
Colorectal Cancer Screening,CMS130v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms130v10
Controlling High Blood Pressure,CMS165v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms165v10
Coronary Artery Disease (CAD): Beta-Blocker Therapy-Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF less than 40%),CMS145v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms145v10
Dementia: Cognitive Assessment,CMS149v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms149v10
Anti-depressant Medication Management,CMS128v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms128v10
Diabetes: Eye Exam,CMS131v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms131v10
Diabetes: Hemoglobin A1c (HbA1c) Poor Control (&gt; 9%),CMS122v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms122v10
Diabetes: Medical Attention for Nephropathy,CMS134v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms134v10
Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,CMS142v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms142v10
Documentation of Current Medications in the Medical Record,CMS68v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms068v11
Falls: Screening for Future Fall Risk,CMS139v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms139v10
Follow-Up Care for Children Prescribed ADHD Medication (ADD),CMS136v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms136v11
Functional Status Assessment for Total Hip Replacement,CMS56v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms056v10
Functional Status Assessment for Total Knee Replacement,CMS66v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms066v10
Functional Status Assessments for Heart Failure,CMS90v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms090v11
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) or Angiotensin Receptor-Neprilysin Inhibitor (ARNI) Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS135v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms135v10
Appropriate Testing for Pharyngitis,CMS146v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms146v10
HIV Screening,CMS349v4,https://ecqi.healthit.gov/ecqm/ep/2022/cms349v4
Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,CMS137v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms137v10
Intravesical Bacillus-Calmette-Guerin for non-muscle invasive bladder cancer,CMS646v2,https://ecqi.healthit.gov/ecqm/ep/2022/cms646v2
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS144v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms144v10
Pneumococcal Vaccination Status for Older Adults,CMS127v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms127v10
Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,CMS69v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms069v10
Preventive Care and Screening: Influenza Immunization,CMS147v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms147v11
Preventive Care and Screening: Screening for Depression and Follow-Up Plan,CMS2v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms002v11
Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,CMS22v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms022v10
Depression Remission at Twelve Months,CMS159v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms159v10
"Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists",CMS74v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms074v11
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,CMS143v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms143v10
Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,CMS129v11,https://ecqi.healthit.gov/ecqm/ep/2022/cms129v11
Statin Therapy for the Prevention and Treatment of Cardiovascular Disease,CMS347v5,https://ecqi.healthit.gov/ecqm/ep/2022/cms347v5
Urinary Symptom Score Change 6-12 Months After Diagnosis of Benign Prostatic Hyperplasia,CMS771v3,https://ecqi.healthit.gov/ecqm/ep/2022/cms771v3
Use of High-Risk Medications in Older Adults,CMS156v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms156v10
Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,CMS138v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms138v10
Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents,CMS155v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms155v10
Appropriate Treatment for Upper Respiratory Infection (URI),CMS154v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms154v10
Oncology: Medical and Radiation - Pain Intensity Quantified,CMS157v10,https://ecqi.healthit.gov/ecqm/ep/2022/cms157v10
