title,description,measureId,subcategoryId,weight,metricType,firstPerformanceYear
Provide 24/7 Access to MIPS Eligible Clinicians or Groups Who Have Real-Time Access to Patient's Medical Record,"Provide 24/7 access to MIPS eligible clinicians, groups, or care teams for advice about urgent care (e.g., MIPS eligible clinician and care team access to medical record, cross-coverage with access to medical record, or protocol-driven nurse line with access to medical record) that could include one or more of the following:
•	Expanded hours in evenings and weekends with access to the patient medical record (e.g., coordinate with small practices to provide alternate hour office visits and urgent care);
•	Use of alternatives to increase access to care team by MIPS eligible clinicians and groups, such as e-visits, phone visits, group visits, home visits and alternate locations (e.g., senior centers and assisted living centers); and/or
•	Provision of same-day or next-day access to a MIPS eligible clinician, group or care team when needed for urgent care or transition management.
",IA_EPA_1,Expanded Practice Access,High,boolean,2017
Use of telehealth services that expand practice access,Create and implement a standardized process for providing telehealth services to expand access to care.,IA_EPA_2,Expanded Practice Access,Medium,boolean,2017
Collection and use of patient experience and satisfaction data on access,"Collection of patient experience and satisfaction data on access to care and development of an improvement plan, such as outlining steps for improving communications with patients to help understanding of urgent access needs.  ",IA_EPA_3,Expanded Practice Access,Medium,boolean,2017
Additional improvements in access as a result of QIN/QIO TA,"As a result of Quality Innovation Network-Quality Improvement Organization technical assistance, performance of additional activities that improve access to services or improve care coordination (for example, investment of on-site diabetes educator).",IA_EPA_4,Expanded Practice Access,Medium,boolean,2017
Participation in User Testing of the Quality Payment Program Website (https://qpp.cms.gov/),"User participation in the Quality Payment Program website testing is an activity for eligible clinicians who have worked with CMS to provide substantive, timely, and responsive input to improve the CMS Quality Payment Program website through product user-testing that enhances system and program accessibility, readability and responsiveness as well as providing feedback for developing tools and guidance thereby allowing for a more user-friendly and accessible clinician and practice Quality Payment Program website experience.",IA_EPA_5,Expanded Practice Access,Medium,boolean,2018
Anticoagulant Management Improvements,"Individual MIPS eligible clinicians and groups who prescribe anti-coagulation medications (including, but not limited to oral Vitamin K antagonist therapy, including warfarin or other coagulation cascade inhibitors) must attest that for 75 percent of their ambulatory care patients receiving these medications are being managed with support from one or more of the following improvement activities:
• Participation in a systematic anticoagulation program (coagulation clinic, patient self-reporting program, or patient self-management program);
• Patients are being managed by an anticoagulant management service, that involves systematic and coordinated care, incorporating comprehensive patient education, systematic prothrombin time (PT-INR) testing, tracking, follow-up, and patient communication of results and dosing decisions;
• Patients are being managed according to validated electronic decision support and clinical management tools that involve systematic and coordinated care, incorporating comprehensive patient education, systematic PT-INR testing, tracking, follow-up, and patient communication of results and dosing decisions;
• For rural or remote patients, patients are managed using remote monitoring or telehealth options that involve systematic and coordinated care, incorporating comprehensive patient education, systematic PT-INR testing, tracking, follow-up, and patient communication of results and dosing decisions; or
• For patients who demonstrate motivation, competency, and adherence, patients are managed using either a patient self-testing (PST) or patient-self-management (PSM) program.",IA_PM_2,Population Management,High,boolean,2017
"RHC, IHS or FQHC quality improvement activities","Participating in a Rural Health Clinic (RHC), Indian Health Service Medium Management (IHS), or Federally Qualified Health Center in ongoing engagement activities that contribute to more formal quality reporting, and that include receiving quality data back for broader quality improvement and benchmarking improvement which will ultimately benefit patients. Participation in Indian Health Service, as an improvement activity, requires MIPS eligible clinicians and groups to deliver care to federally recognized American Indian and Alaska Native populations in the U.S. and in the course of that care implement continuous clinical practice improvement including reporting data on quality of services being provided and receiving feedback to make improvements over time. ",IA_PM_3,Population Management,High,boolean,2017
Glycemic management services,"For outpatient Medicare beneficiaries with diabetes and who are prescribed antidiabetic agents (e.g., insulin, sulfonylureas), MIPS eligible clinicians and groups must attest to having: 

For the first performance year, at least 60 percent of medical records with documentation of an individualized glycemic treatment goal that: 
a) Takes into account patient-specific factors, including, at least 1) age, 2) comorbidities, and 3) risk for hypoglycemia, and
b) Is reassessed at least annually.

The performance threshold will increase to 75 percent for the second performance year and onward.

Clinician would attest that, 60 percent for first year, or 75 percent for the second year, of their medical records that document individualized glycemic treatment represent patients who are being treated for at least 90 days during the performance period.
",IA_PM_4,Population Management,High,boolean,2017
Engagement of community for health status improvement,"Take steps to improve health status of communities, such as collaborating with key partners and stakeholders to implement evidenced-based practices to improve a specific chronic condition. Refer to the local Quality Improvement Organization (QIO) for additional steps to take for improving health status of communities as there are many steps to select from for satisfying this activity. QIOs work under the direction of CMS to assist MIPS eligible clinicians and groups with quality improvement, and review quality concerns for the protection of beneficiaries and the Medicare Trust Fund. ",IA_PM_5,Population Management,Medium,boolean,2017
Use of Toolsets or Other Resources to Close Health and Health Care Inequities Across Communities,"Address inequities in health outcomes by using population health data analysis tools to identify health inequities in the community and practice and assess options for effective and relevant interventions such as Population Health Toolkit or other resources identified by the clinician, practice, or by CMS. Based on this information, create, refine, and implement an action plan to address and close inequities in health outcomes and/or health care access, quality, and safety. ",IA_PM_6,Population Management,Medium,boolean,2017
