measureId,title,description,isRequired,metricType,firstPerformanceYear,weight,objective,isBonus,reportingCategory,substitutes,exclusion
PI_PPHI_1,Security Risk Analysis,"Conduct or review a security risk analysis in accordance with the requirements in 45 CFR 164.308(a)(1), including addressing the security (to include encryption) of ePHI data created or maintained by certified electronic health record technology (CEHRT) in accordance with requirements in 45 CFR 164.312(a)(2)(iv) and 45 CFR 164.306(d)(3), implement security updates as necessary, and correct identified security deficiencies as part of the MIPS eligible clinician's risk management process.",TRUE,boolean,2017,0,Protect Patient Health Information,FALSE,required,N/A,N/A
PI_PPHI_2,High Priority Practices Guide of the Safety Assurance Factors for EHR  Resilience (SAFER) Guides,Conduct an annual assessment of the High Priority Practices Guide SAFER Guides beginning with the 2022 performance period.,TRUE,boolean,2022,0,Protect Patient Health Information,FALSE,required,N/A,N/A
PI_ONCDIR_1,ONC Direct Review Attestation,"I attest that I - (1) Acknowledge the requirement to cooperate in good faith with ONC direct review of his or her health information technology certified under the ONC Health IT Certification Program if a request to assist in ONC direct review is received; and (2) If requested, cooperated in good faith with ONC direct review of his or her health information technology certified under the ONC Health IT Certification Program as authorized by 45 CFR part 170, subpart E, to the extent that such technology meets (or can be used to meet) the definition of CEHRT, including by permitting timely access to such technology and demonstrating its capabilities as implemented and used by the MIPS eligible clinician in the field.",TRUE,boolean,2017,0,attestation,FALSE,required,N/A,N/A
PI_INFBLO_1,Actions to Limit or Restrict the Compatibility of CEHRT,I attest to CMS that I did not knowingly and willfully take action (such as to disable functionality) to limit or restrict the compatibility or interoperability of certified EHR technology.,"TRUE
",boolean,2017,0,attestation,FALSE,required,N/A,N/A
PI_ONCACB_1,ONC-ACB Surveillance Attestation,"I have (1) Acknowledged the option to cooperate in good faith with ONC-ACB surveillance of his or her health information technology certified under the ONC Health IT Certification Program if a request to assist in ONC-ACB surveillance is received; and (2) If requested, cooperated in good faith with ONC-ACB surveillance of his or her health information technology certified under the ONC Health IT Certification Program as authorized by 45 CFR part 170, subpart E, to the extent that such technology meets (or can be used to meet) the definition of CEHRT, including by permitting timely access to such technology and demonstrating its capabilities as implemented and used by the MIPS eligible clinician in the field.",FALSE ,boolean,2017,0,attestation,FALSE,,N/A,N/A
PI_EP_1,e-Prescribing,At least one permissible prescription written by the MIPS eligible clinician is  transmitted electronically using CEHRT.,TRUE,proportion,2017,10,e-Prescribing,FALSE,required,N/A,PI_LVPP_1
PI_LVPP_1,e-Prescribing Exclusion,Any MIPS eligible clinician who writes fewer than 100 permissible prescriptions during the performance period.,FALSE ,boolean,2017,0,e-Prescribing,FALSE,exclusion ,N/A,N/A
PI_EP_2,Query of the Prescription Drug Monitoring Program (PDMP),"For at least one Schedule II opioid electronically prescribed using CEHRT during the performance period, the MIPS eligible clinician uses data from CEHRT to conduct a query of a PDMP for prescription drug history, except where prohibited and in accordance with applicable law.",FALSE,boolean,2019,10,e-Prescribing,TRUE,bonus,N/A,N/A
PI_HIE_1,Support Electronic Referral Loops By Sending Health Information ,"For at least one transition of care or referral, the MIPS eligible clinician that transitions or refers their patient to another setting of care or health care provider (1) creates a summary of care record using certified electronic health record technology (CEHRT); and (2) electronically exchanges the summary of care record.",TRUE,proportion,2017,20,Health Information Exchange,FALSE,required,PI_HIE_5,PI_LVOTC_1
PI_LVOTC_1,Support Electronic Referral Loops By Sending Health Information Exclusion,Any MIPS eligible clinician who transfers a patient to another setting or refers a patient fewer than 100 times during the performance period.,FALSE ,boolean,2017,0,Health Information Exchange,FALSE,exclusion ,N/A,N/A
PI_HIE_4,Support Electronic Referral Loops By Receiving and Reconciling Health Information ,"For at least one electronic summary of care record received for patient encounters during the performance period for which a MIPS eligible clinician was the receiving party of a transition of care or referral, or for patient encounters during the performance period in which the MIPS eligible clinician has never before encountered the patient, the MIPS eligible clinician conducts clinical information reconciliation for medication, medication allergy, and current problem list.",TRUE,proportion,2019,20,Health Information Exchange,FALSE,required,PI_HIE_5,PI_LVITC_2
PI_LVITC_2,Support Electronic Referral Loops By Receiving and Reconciling Health Information Exclusion,Any MIPS eligible clinician who receives transitions of care or referrals or has patient encounters in which the MIPS eligible clinician has never before encountered the patient fewer than 100 times during the performance period. ,FALSE ,boolean,2019,0,Health Information Exchange,FALSE,exclusion ,N/A,N/A
PI_HIE_5,"Health Information Exchange
(HIE) Bi-Directional Exchange","The MIPS eligible clinician or group must establish the technical capacity and workflows to engage in bi-directional exchange via an HIE for all patients seen by the eligible clinician and for any patient record stored or maintained in their EHR.
The MIPS eligible clinician or group must attest that they engage in bi-directional exchange with an HIE to support transitions of care.",TRUE,boolean,2021,40,Health Information Exchange,FALSE,required,"PI_HIE_1,
PI_HIE_4",N/A
PI_PEA_1,Provide Patients Electronic Access to Their Health Information,"For at least one unique patient seen by the MIPS eligible clinician: (1) The patient (or the patient-authorized representative) is provided timely access to view online, download, and transmit his or her health information; and (2) The MIPS eligible clinician ensures the patient's health information is available for the patient (or patient-authorized representative) to access using any application of their choice that is configured to meet the technical specifications of the Application Programming Interface (API) in the MIPS eligible clinician's certified electronic health record technology (CEHRT). ",TRUE,proportion,2017,40,Provider to Patient Exchange,FALSE,required,N/A,N/A
PI_PHCDRR_2,Syndromic Surveillance Reporting,The MIPS eligible clinician is in active engagement with a public health agency to submit syndromic surveillance data from an urgent care setting.,FALSE,boolean,2017,5,Public Health and Clinical Data Exchange,TRUE,bonus,"PI_PHCDRR_4,
PI_PHCDRR_5",N/A
PI_PHCDRR_1,Immunization Registry Reporting,The MIPS eligible clinician is in active engagement with a public health agency to submit immunization data and receive immunization forecasts and histories from the public health immunization registry/immunization information system (IIS).,TRUE,boolean,2017,null,Public Health and Clinical Data Exchange,FALSE,required,N/A,"PI_PHCDRR_1_EX_1,
PI_PHCDRR_1_EX_2,
PI_PHCDRR_1_EX_3"
