Allowed QCDR Vender IDs,Allowed QCDR Names,Measure ID,2022 Status,Measure Title, Measure Description ,NQF Number  (if applicable),NQS Domain ,High Priority,Measure Type,Inverse Measure,Proportional Measure,Continuous Variable Measure  ,Ratio Measure  ,Number of Performance Rates to be Submitted                                                  ,Performance Rate Description,Overall Algorithm,Is the Measure Risk-Adjusted   ,Primary Steward,First Performance Year ,Submission Pathway,What changed from the previous version to assess impact
6273354,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI17,Active,Asthma Control: Minimal Important Difference Improvement,"Percentage of patients aged 12 years and older whose asthma is not well-controlled as indicated by the Asthma Control Test, Asthma Control Questionnaire, or Asthma Therapy Assessment Questionnaire and who demonstrated a minimal important difference improvement upon a subsequent office visit during the 12-month reporting period. National Quality Strategy Domain: Person and Caregiver-Centered Experience and Outcomes Outcome Measure",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,No,Yes,No,No,1,N/A,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2015,Traditional MIPS,
6273354,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI18,Active,Penicillin Allergy: Appropriate Removal or Confirmation,"Percentage of patients, regardless of age, with a primary diagnosis of penicillin or ampicillin/amoxicillin allergy, who underwent elective skin testing or antibiotic challenge that resulted in the removal of the penicillin or ampicillin/amoxicillin allergy label from the medical record if negative or confirmation of the penicillin or ampicillin/amoxicillin allergy label if positive.",N/A,Communication and Care Coordination,Yes,Outcome,No,Yes,No,No,1,N/A,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2015,Traditional MIPS,
6273354,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI2,Active,Asthma: Assessment of Asthma Control – Ambulatory Care Setting,Percentage of patients aged 5 years and older with a diagnosis of asthma who were evaluated at least once during the measurement period for asthma control (comprising asthma impairment and asthma risk). National Quality Strategy Domain: Effective Clinical Care Process Measure,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014,Traditional MIPS,
6273354,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI6,Active,Documentation of Clinical Response to Allergen Immunotherapy within One Year,Percentage of patients aged 5 years and older who were evaluated for clinical improvement and efficacy within one year after initiating allergen immunotherapy AND assessment documented in the medical record. National Quality Strategy Domain: Communication and Care Coordination Process Measure,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014,Traditional MIPS,"Was 2022  - No impact, confirmed with scoring"
6273354,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",AAAAI8,Active,Achievement of Projected Effective Dose of Standardized Allergens for Patient Treated With Allergen Immunotherapy for at Least One Year,"Proportion of patients receiving subcutaneous allergen immunotherapy that contains at least one standardized extract (mite, ragweed, grass, and/or cat) who achieved the projected effective dose for all included standardized allergen extract(s) after at least one year of treatment.",N/A,Effective Clinical Care,Yes,Outcome,No,Yes,No,No,1,N/A,1st Performance Rate,No,"AAAAI QCDR - American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by ArborMetrix",2014,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD10,Active,Dermatitis – Improvement in Patient-Reported Itch Severity,"The percentage of patients, aged 18 years and older, with a diagnosis of dermatitis where at an initial (index) visit have a patient reported itch severity assessments performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient-Reported Outcome-based Performance Measure (PRO-PM),No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD11,Active,Skin Cancer Surgery: Post-Operative Complications,"Percentage of procedures for basal cell carcinoma, squamous cell carcinoma, or melanoma (including in situ disease) with a post-operative complication including infection, bleeding, or hematoma following an excisional or Mohs surgery within 15 days of the procedure.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Outcome,Yes,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD12,Active,Melanoma: – Appropriate Surgical Margins,Percentage of primary excisional surgeries for melanoma or melanoma in situ with Breslow depth and appropriate surgical margins per the National Comprehensive Cancer Network Clinical Practice Guidelines in Oncology- Melanoma (NCCN Guideline).,N/A,Patient Safety,Yes,Intermediate Outcome,No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD13,New,Mildly Atypical Dysplastic Nevi – Appropriate Non-Excision,Percentage of procedures with histologically proven dysplastic nevus/mild atypia that are NOT excised by the biopsying physician and are NOT referred to others for excision.,N/A,Efficiency and Cost Reduction,Yes,Process,No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2022,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD14,New,Melanoma: Tracking and Evaluation of Recurrence,"Percentage of patients who had an excisional surgery for melanoma or melanoma in situ with initial AJCC staging of 0, I, or II, in the past 5 years in which the operating provider examines and/or diagnoses the patient for recurrence of melanoma.",N/A,Effective Clinical Care,Yes,Outcome,Yes,Yes,No,No,2,"The measure will be calculated with 2 performance rates for criteria 1 and criteria 2.
Rate 1: NUMERATOR CRITERIA 1: Documentation by the provider who performed the surgery that an exam for recurrence of melanoma was performed on the patient within the reporting period. 
Rate 2: NUMERATOR CRITERIA 2: All patients that were diagnosed with a recurrent melanoma in the current reporting year.",2nd Performance Rate,No,AAD’s DataDerm™,2022,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD6,Active,Skin Cancer: Biopsy Reporting Time - Clinician to Patient,Percentage of patients with skin biopsy specimens with a diagnosis of cutaneous basal or squamous cell carcinoma or melanoma (including in situ disease) or primary cutaneous malignancies who are notified of their final biopsy pathology findings within less than or equal to 12 days from the time the biopsy was performed.,N/A,Communication and Care Coordination,Yes,Process,No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD7,Active,Psoriasis: Screening for Psoriatic Arthritis,Percentage of patients with diagnosis of psoriasis who are screened for psoriatic arthritis at each visit.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD8,Active,Chronic Skin Conditions: Patient Reported Quality-of-Life,The percentage of patients aged 18 years and older with a chronic skin condition whose self-assessed quality-of-life was recorded at least once in the medical record within the measurement period.,N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Process,No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
4649789,AAD’s DataDerm™,AAD9,Active,Psoriasis – Improvement in Patient-Reported Itch Severity,"The percentage of patients, aged 18 years and older, with a diagnosis of psoriasis where at an initial (index) visit have a patient reported itch severity assessment performed, score greater than or equal to 4, and who achieve a score reduction of 2 or more points at a follow up visit.",N/A,Person and Caregiver Centered Experience and Outcomes,Yes,Patient-Reported Outcome-based Performance Measure (PRO-PM),No,Yes,No,No,1,Simple average of the performance rates,1st Performance Rate,No,AAD’s DataDerm™,2020,Traditional MIPS,
8933551,Axon Registry,AAN22,Active,Quality of Life Outcome for Patients with Neurologic Conditions,Percentage of patients whose quality of life assessment results are maintained or improved during the measurement period.,N/A,Effective Clinical Care,Yes,Patient-Reported Outcome-based Performance Measure (PRO-PM),No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2019,Traditional MIPS,
8933551,Axon Registry,AAN25,Active,Pediatric Medication reconciliation,Percentage of pediatric patients who had a medication review at every encounter and a medication list present in the medical record.,N/A,Effective Clinical Care,No,Process,No,Yes,No,No,1,N/A,1st Performance Rate,No,Axon Registry,2019,Traditional MIPS,
