title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,measureArea,isHighPriority,appropriateUse,primarySteward,firstPerformanceYear,lastPerformanceYear,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,audiology,cardiology,certifiedNurseMidwife,chiropracticMedicine,clinicalSocialWork,dentistry,dermatology,diagnosticRadiology,electrophysiologyCardiacSpecialist,emergencyMedicine,endocrinology,familyMedicine,gastroenterology,generalSurgery,geriatrics,hospitalists,infectiousDisease,internalMedicine,interventionalRadiology,mentalBehavioralHealth,nephrology,neurology,neurosurgical,nutritionDietician,obstetricsGynecology,oncology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,physicalTherapyOccupationalTherapy,plasticSurgery,podiatry,preventiveMedicine,pulmonology,radiationOncology,rheumatology,skilledNursingFacility,speechLanguagePathology,thoracicSurgery,urgentCare,urology,vascularSurgery,"additionalGuidence
",telehealthModifiers,isInverse,nonCoveredDenominator,numStrataRegistry,overallAlgorithm,perFrateDescriptions,isNonProportional,,,,,,,,,suppressionReason,,,,,,,,removalReason,,,,,,,,,truncationReason,,,,,,,,flatReason,programMIPS,programPCF,programAPP1,requiredPCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes: Hemoglobin A1c (HbA1c) Poor Control (>9%),CMS122v10,N/A,0059,001,Percentage of patients 18-75 years of age with diabetes who had hemoglobin A1c > 9.0% during the measurement period.,Effective Clinical Care," Intermediate Outcome",Management of Chronic Conditions,X,-,National Committee for Quality Assurance,2017,Measure is still in program,X,-,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,"X
2020
2021
2022","X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,"X
2018
2019
2020
2021
2022",-,-,"2020
2021",-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"Claims: When a QDC is reported for an eligible patient during the performance period, use the most recent (the last) qualifying claim WITH a QDC reported during the performance period.                                                                                                                        • Performance hierarchy is reversed to determine the most favorable instance of reporting for performance rate calculations (fails performance then meets performance) - used when multiple QDCs are reported on the most recent claim/day.                                                                                                      • Determine ""most recent"" by date of service for QDCs submitted.  ",-,Y,Y,1,N/A,N/A,N,(Y) 2021,N,N,N,N,N,Suppression,2021,2021 CPTII codes were inactivated for 6 months of the performance period.,,,,,,,,,Y (2019),N,N,N,N,N,First,2019,"In order to curtail any potential implications that may negatively affect the performance of MIPS eligible clinicians participating in the Quality Payment Program, CMS is reducing the 2019 performance period for Quality ID 001: Diabetes: Hemoglobin A1c (HbA1c) Poor Control (>9%) submission of claims to nine months reflecting a timeframe from January 1, 2019 to September 30, 2019. MIPS eligible clinicians do not need to submit any additional documentation or resubmit rejected claims. 

In July of 2019, the American Medical Association (AMA) issued an update to the CPT Category II codes in the CPT 2020 code set, which included the removal of the CPT Category II code 3045F (Most recent hemoglobin A1c (HbA1c) level 7.0% to 9.0%) effective October 1, 2019.  However, in November of 2019, the AMA issued a revision to the effective date of the CPT Category II code 3045F to reflect an effective date of January 1, 2020.  As a result of stakeholders expressing concerns regarding the initial October 1, 2019 effective date of the code removal and the timing of the notification for the revised effective date occurring after the implementation of the initial effective date, CMS assessed the potential impact that the removal of the CPT Category II code 3045F may have on the submission of claims for Quality ID 001: Diabetes: Hemoglobin A1c (HbA1c) Poor Control (>9%) between October 1, 2019 and December 31, 2019.  ","Y (2020)
Y (2021)
Y (2022)",N,Y (2022),N,N,"Y (2020)
Y (2022)","2020
2021
2022","May lead to overtreatment/inappropriate care
**2022 information pending the performance data",X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) or Angiotensin Receptor-Neprilysin Inhibitor (ARNI) Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS135v10,0081e,0081,005,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed ACE inhibitor or ARB or ARNI therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Heart Association,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"This measure has multiple denominator options based on care setting (outpatient vs. inpatient).  This measure requires the reporting of only one data completeness and performance rate.

The measure allows for Telehealth modifiers for the additional encounter in Submission Criteria One.

eCQM: is to be reported as patient-based or episode-based, depending on the clinical setting. 

",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Disease (CAD): Antiplatelet Therapy,N/A,N/A,0067,006,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease (CAD) seen within a 12-month period who were prescribed aspirin or clopidogrel.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Heart Association,2017,Measure is still in program,-,-,-,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,"N/A",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Artery Disease (CAD): Beta-Blocker Therapy – Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),CMS145v10,0070e,0070,007,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12-month period who also have a prior MI or a current or prior LVEF < 40% who were prescribed beta-blocker therapy.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Heart Association,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,,-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS144v10,0083e,0083,008,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed beta-blocker therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Heart Association,2017,Measure is still in program,-,-,X,-,-,X,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2019
2020
2021
2022",-,-,-,-,-,"This measure has multiple denominator options based on care setting (outpatient vs. inpatient).  This measure requires the reporting of only one data completeness and performance rate. 

The measure allows for Telehealth modifiers for the additional encounter in Submission Criteria One.

eCQM: is to be reported as patient-based or episode-based, depending on the clinical setting. 

",-,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Depressant Medication Management,CMS128v10,N/A,N/A,009,"Percentage of patients 18 years of age and older who were treated with antidepressant medication, had a diagnosis of major depression, and who remained on an antidepressant medication treatment. Two rates are reported. 
a. Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). 
b. Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).",Effective Clinical Care,Process,"Prevention, Treatment, and Management of Mental Health",-,-,National Committee for Quality Assurance,2017,Measure is still in program,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"The eCQM measure requires the submission of two performance rates. An overall performance rate needs to be calculated for this measure for benchmarking. A simple average of the performance rates will be determined to calculate the overall performance rate. This is determined by adding the performance rate percentages for each submeasure and divide by the total number of component submeasures. 
",-,N,N/A,2,Simple Average,"Rate 1: Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). 
Rate 2: Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,CMS143v10,0086e,N/A,012,Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) who have an optic nerve head evaluation during one or more office visits within 12 months.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Academy of Ophthalmology,2017,Measure is still in program,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N/A,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N/A,N/A,0087,014,Percentage of patients aged 50 years and older with a diagnosis of age-related macular degeneration (AMD) who had a dilated macular examination performed which included documentation of the presence or absence of macular thickening or geographic atrophy or hemorrhage AND the level of macular degeneration severity during one or more office visits within the 12 month performance period.,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,American Academy of Ophthalmology,2017,"Measure is still in program ",-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,N,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy,CMS167v6,N/A,0088,018,Percentage of patients aged 18 years and older with a diagnosis of diabetic retinopathy who had a dilated macular or fundus exam performed which included documentation of the level of severity of retinopathy and the presence or absence of macular edema during one or more office visits within 12 months,Effective Clinical Care,Process,Management of Chronic Conditions,-,-,Physician Consortium for Performance Improvement,2017,2019,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2017
2018",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",,N,N,1,N/A, ,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,CMS142v10,N/A,N/A,019,Percentage of patients aged 18 years and older with a diagnosis of diabetic retinopathy who had a dilated macular or fundus exam performed with documented communication to the physician who manages the ongoing care of the patient with diabetes mellitus regarding the findings of the macular or fundus exam at least once within 12 months.,"Communication and Care Coordination ",Process,Transfer of Health Information and Interoperability,X,-,American Academy of Ophthalmology,2017,"Measure is still in program ",-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X
2017
2018
2019
2020
2021
2022",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"N/A",X,N,Y,1,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
