link,eMeasureId
https://ecqi.healthit.gov/ecqm/ec/2023/cms161v11,CMS161v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms249v5,CMS249v5
https://ecqi.healthit.gov/ecqm/ec/2023/cms645v6,CMS645v6
https://ecqi.healthit.gov/ecqm/ec/2023/cms125v11,CMS125v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms133v11,CMS133v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms124v11,CMS124v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms177v11,CMS177v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms117v11,CMS117v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms075v11,CMS75v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms153v11,CMS153v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms050v11,CMS50v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms130v11,CMS130v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms165v11,CMS165v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms145v11,CMS145v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms149v11,CMS149v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms128v11,CMS128v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms159v11,CMS159v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms131v11,CMS131v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms122v11,CMS122v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms142v11,CMS142v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms068v12,CMS68v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms139v11,CMS139v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms136v12,CMS136v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms056v11,CMS56v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms090v12,CMS90v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms135v11,CMS135v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms146v11,CMS146v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms349v5,CMS349v5
https://ecqi.healthit.gov/ecqm/ec/2023/cms137v11,CMS137v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms646v3,CMS646v3
https://ecqi.healthit.gov/ecqm/ec/2023/cms144v11,CMS144v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms951v1,CMS951v1
https://ecqi.healthit.gov/ecqm/ec/2023/cms127v11,CMS127v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms069v11,CMS69v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms147v12,CMS147v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms002v12,CMS2v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms022v11,CMS22v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms138v11,CMS138v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms074v12,CMS74v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms143v11,CMS143v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms129v12,CMS129v12
https://ecqi.healthit.gov/ecqm/ec/2023/cms347v6,CMS347v6
https://ecqi.healthit.gov/ecqm/ec/2023/cms771v4,CMS771v4
https://ecqi.healthit.gov/ecqm/ec/2023/cms156v11,CMS156v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms155v11,CMS155v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms154v11,CMS154v11
https://ecqi.healthit.gov/ecqm/ec/2023/cms157v11,CMS157v11
