measureId,stratumName,description
009,84Days,Rate 1: Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). 
009,180Days,Rate 2: Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).
226,screened,Rate 1: Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period
226,overall,Rate 2: Percentage of patients aged 18 years and older who were identified as a tobacco user during the measurement period who received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period
226,combinedPopulations,Rate 3: Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period AND who received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period if identified as a tobacco user
238,overall,Rate 1: Percentage of patients 65 years of age and older who were ordered at least two high-risk medications from the same drug class.
238,appropriateDiagnosis,"Rate 2: Percentage of patients 65 years of age and older who were ordered at least two high-risk medications from the same drug class, except for appropriate diagnoses."
238,totalRate,"Rate 3: Total rate (the sum of the two numerators divided by the denominator, deduplicating for patients in both numerators)."
239,percentiles,"Rate 1: Percentage of patients with height, weight, and body mass index (BMI) percentile documentation."
239,nutrition,Rate 2: Percentage of patients with counseling for nutrition.
239,physicalActivity,Rate 3: Percentage of patients with counseling for physical activity.
305,14Days,"Rate 1: Percentage of patients who initiated treatment, including either an intervention or medication for the treatment of SUD, within 14 days of the new SUD episode."
305,34Days,"Rate 2: Percentage of patients who engaged in ongoing treatment, including two additional interventions or short-term medications, or one long-term medication for the treatment of SUD, within 34 days of the initiation."
366,30Days,Rate 1: Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.
366,overall,"Rate 2: Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended."
370,adolescents,Rate 1: Percentage of adolescent patients (aged 12-17 years) with a diagnosis of major depression or dysthymia and an initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5
370,adults,Rate 2: Percentage of adult patients (aged 18 years or older) with a diagnosis of major depression or dysthymia and an initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5
391,30Days,Rate 1: The percentage of discharges for which the patient received follow-up within 30 days after discharge
391,overall,Rate 2: The percentage of discharges for which the patient received follow-up within 7 days after discharge
392,female18-64,Rate 1: Females 18-64 years of age
392,male18-64,Rate 2: Males 18-64 years of age
392,female65+,Rate 3: Females 65 years of age and older
392,male65+,Rate 4: Males 65 years of age and older
392,overall,Rate 5: Overall percentage of patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days
394,meningococcal,"Rate 1: Patients who had one dose of meningococcal vaccine (serogroups A, C, W, Y), on or between the patient’s 11th and 13th birthdays"
394,Tdap,"Rate 2: Patients who had one tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap) on or between the patient’s 10th and 13th birthdays"
394,HPV,Rate 3: Patients who have completed the HPV vaccine series with different dates of service on or between the patient’s 9th and 13th birthdays
394,overall,"Rate 4: All patients who are compliant for Meningococcal (serogroups A, C, W, Y), Tdap and HPV during the specified timeframes"
398,overall,"Rate 1: Overall Percentage for patients (aged 5-50 years) with well-controlled asthma, without elevated risk of exacerbation"
398,pedCtrlNoExacRisk,"Rate 2: Percentage of pediatric patients (aged 5-17 years) with well-controlled asthma, without elevated risk of exacerbation"
398,adultCtrlNoExacRisk,"Rate 3: Percentage of adult patients (aged 18-50 years) with well-controlled asthma, without elevated risk of exacerbation"
398,pedsWellCtrl,Rate 4: Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 5 to 17 with Asthma
398,adultsWellCtrl,Rate 5: Asthma well-controlled (submit the most recent specified asthma control tool result) for patients 18 to 50 with Asthma
398,pedsNoRiskExac,Rate 6: Patient not at elevated risk of exacerbation for patients 5 to 17 with Asthma
398,adultsNoRiskExac,Rate 7: Patient not at elevated risk of exacerbation for patients 18 to 50 with Asthma
409,reporting,Rate 1: Percentage of patients with mRS score assessed at 90 days following endovascular stroke intervention
409,performance,Rate 2: Percentage of patients with mRS score of 0 to 2 assessed at 90 days following endovascular stroke intervention
431,screened,Rate 1: Percentage of patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method at least once within the last 12 months
431,overall,Rate 2: Percentage of patients aged 18 years and older who were identified as unhealthy alcohol users who received brief counseling
431,combinedPopulations,Rate 3: Percentage of patients aged 18 years and older who were screened for unhealthy alcohol use using a systematic screening method at least once within the last 12 months AND who received brief counseling if identified as unhealthy alcohol users
493,influenza,Rate 1: Percentage of patients (19 years of age and older on the date of the encounter) who received an influenza vaccine on or between July 1 of the year prior to the measurement period and June 30 of the measurement period
493,Tdap,"Rate 2: Percentage of patients (19 years of age and older on the date of the encounter) who received at least 1 tetanus and diphtheria (Td) vaccine or 1 tetanus, diphtheria, and pertussis (Tdap)  vaccine between 9 years prior to the the encounter and the end of the measurement period"
493,herpesZoster,Rate 3: Percentage of patients (50 years of age and older on the date of the encounter) who received at least 1 dose of the herpes zoster live vaccine or 2 doses of the herpes zoster recombinant vaccine anytime on or after the patients’ 50th birthday
493,pneumococcal,"Rate 4: Percentage of patients (66 years of age or older on the date of the encounter) who were administered any pneumococcal conjugate vaccine or polysaccharide vaccine, on or after their 60th birthday and before the end of the measurement period"
