link,eMeasureID
https://ecqi.healthit.gov/ecqm/ec/2024/cms0249v6,CMS249v6
https://ecqi.healthit.gov/ecqm/ec/2024/cms0645v7,CMS645v7
https://ecqi.healthit.gov/ecqm/ec/2024/cms0125v12,CMS125v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0133v12,CMS133v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0124v12,CMS124v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0177v12,CMS177v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0117v12,CMS117v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0075v12,CMS75v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0153v12,CMS153v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0050v12,CMS50v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0130v12,CMS130v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0165v12,CMS165v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0145v12,CMS145v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0149v12,CMS149v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0128v12,CMS128v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0159v12,CMS159v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0131v12,CMS131v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0122v12,CMS122v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0142v12,CMS142v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0068v13,CMS68v13
https://ecqi.healthit.gov/ecqm/ec/2024/cms0139v12,CMS139v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0136v13,CMS136v13
https://ecqi.healthit.gov/ecqm/ec/2024/cms0056v12,CMS56v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0090v13,CMS90v13
https://ecqi.healthit.gov/ecqm/ec/2024/cms0135v12,CMS135v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0146v12,CMS146v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0349v6,CMS349v6
https://ecqi.healthit.gov/ecqm/ec/2024/cms0137v12,CMS137v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0646v4,CMS646v4
https://ecqi.healthit.gov/ecqm/ec/2024/cms0144v12,CMS144v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0951v2,CMS951v2
https://ecqi.healthit.gov/ecqm/ec/2024/cms0069v12,CMS69v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0002v13,CMS2v13
https://ecqi.healthit.gov/ecqm/ec/2024/cms0022v12,CMS22v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0138v12,CMS138v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0074v13,CMS74v13
https://ecqi.healthit.gov/ecqm/ec/2024/cms0143v12,CMS143v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0129v13,CMS129v13
https://ecqi.healthit.gov/ecqm/ec/2024/cms0347v7,CMS347v7
https://ecqi.healthit.gov/ecqm/ec/2024/cms0771v5,CMS771v5
https://ecqi.healthit.gov/ecqm/ec/2024/cms0156v12,CMS156v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0155v12,CMS155v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0154v12,CMS154v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0157v12,CMS157v12
https://ecqi.healthit.gov/ecqm/ec/2024/cms0314v1,CMS314v1
https://ecqi.healthit.gov/ecqm/ec/2024/cms1188v1,CMS1188v1
