link,measureId
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_001_MedicarePartBClaims.pdf,001
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_024_MedicarePartBClaims.pdf,024
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_039_MedicarePartBClaims.pdf,039
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_047_MedicarePartBClaims.pdf,047
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2025_Measure_112_MedicarePartBClaims.pdf,112
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2025_Measure_113_MedicarePartBClaims.pdf,113
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2025_Measure_128_MedicarePartBClaims.pdf,128
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_134_MedicarePartBClaims.pdf,134
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_141_MedicarepartBClaims.pdf,141
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_145_MedicarePartBclaims.pdf,145
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_181_MedicarePartBClaims.pdf,181
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_226_MedicarePartBClaims.pdf,226
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_236_MedicarePartBClaims.pdf,236
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_249_MedicarePartBClaims.pdf,249
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_250_MedicarePartBClaims.pdf,250
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_261_MedicarePartBClaims.pdf,261
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_317_MedicarePartBClaims.pdf,317
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_320_MedicarePartBClaims.pdf,320
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_395_MedicarePartBClaims.pdf,395
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_396_MedicarePartBClaims.pdf,396
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_397_MedicarePartBClaims.pdf,397
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_405_MedicarePartBClaims.pdf,405
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_406_MedicarePartBClaims.pdf,406
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_418_MedicarePartBClaims.pdf,418
https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2025_Measure_422_MedicarePartBClaims.pdf,422
