link,measureId
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-e-Prescribing-Measure.pdf,PI_EP_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Query-of-PDMP-Measure.pdf,PI_EP_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Query-of-PDMP-Measure.pdf,PI_EP_2_EX_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Query-of-PDMP-Measure.pdf,PI_EP_2_EX_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-E-Referral-Loops-by-Sending-Health-Info-Measure.pdf,PI_HIE_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-E-Referral-Loops-by-Receiving-Reconciling-Health-Info-Measure.pdf,PI_HIE_4
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-HIE-Bi-Directional-Exchange-Measure.pdf,PI_HIE_5
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Enabling-Exchange-Under-TEFCA-Measure.pdf,PI_HIE_6
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Actions-to-Limit-Restrict-CEHRT-Attestation-Fact Sheet.pdf,PI_INFBLO_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-E-Referral-Loops-by-Receiving-Reconciling-Health-Info-Measure.pdf,PI_LVITC_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-E-Referral-Loops-by-Sending-Health-Info-Measure.pdf,PI_LVOTC_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-e-Prescribing-Measure.pdf,PI_LVPP_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-ONC-ACB-Surveillance-Attestation-Fact-Sheet.pdf,PI_ONCACB_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-ONC-Direct-Review-Attestation-Fact-Sheet.pdf,PI_ONCDIR_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Provide-Patients-E-Access-to-Their-Health-Info-Measure.pdf,PI_PEA_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Immunization-Registry-Reporting-Measure.pdf,PI_PHCDRR_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Immunization-Registry-Reporting-Measure.pdf,PI_PHCDRR_1_EX_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Immunization-Registry-Reporting-Measure.pdf,PI_PHCDRR_1_EX_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Immunization-Registry-Reporting-Measure.pdf,PI_PHCDRR_1_EX_3
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Immunization-Registry-Reporting-Measure.pdf,PI_PHCDRR_1_PRE
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Immunization-Registry-Reporting-Measure.pdf,PI_PHCDRR_1_PROD
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Syndromic-Surveillance-Reporting-Measure.pdf,PI_PHCDRR_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Syndromic-Surveillance-Reporting-Measure.pdf,PI_PHCDRR_2_PRE
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Syndromic-Surveillance-Reporting-Measure.pdf,PI_PHCDRR_2_PROD
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Electronic-Case-Reporting-Measure.pdf,PI_PHCDRR_3
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Electronic-Case-Reporting-Measure.pdf,PI_PHCDRR_3_EX_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Electronic-Case-Reporting-Measure.pdf,PI_PHCDRR_3_EX_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Electronic-Case-Reporting-Measure.pdf,PI_PHCDRR_3_EX_3
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Electronic-Case-Reporting-Measure.pdf,PI_PHCDRR_3_PRE
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Electronic-Case-Reporting-Measure.pdf,PI_PHCDRR_3_PROD
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Public-Health-Registry-Reporting-Measure.pdf,PI_PHCDRR_4
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Public-Health-Registry-Reporting-Measure.pdf,PI_PHCDRR_4_PRE
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Public-Health-Registry-Reporting-Measure.pdf,PI_PHCDRR_4_PROD
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Clinical-Data-Registry-Reporting-Measure.pdf,PI_PHCDRR_5
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Clinical-Data-Registry-Reporting-Measure.pdf,PI_PHCDRR_5_PRE
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Clinical-Data-Registry-Reporting-Measure.pdf,PI_PHCDRR_5_PROD
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Public-Health-Reporting-Using-TEFCA-Measure.pdf,PI_PHCDRR_6
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-Security-Risk-Analysis-Measure.pdf,PI_PPHI_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2026-MIPS-Promoting-Interoperability-High-Priority-Practices-SAFER-Guide-Measure.pdf,PI_PPHI_2
