measureId,stratumName,description
AAD16,resection,Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD16,reconstruction,Rate 2: Strata 2: Reconstruction after skin cancer resection 
AAD16,overall,"Rate 3: Strata 3: FOR REPORTING
Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
ACRAD34,abdomen,Rate 1: Percent of CT Abdomen-pelvis exams with contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
ACRAD34,chest,Rate 2: Percent of CT Chest exams without contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
ACRAD34,head,Rate 3: Percent of CT Head/brain exams without contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
AJRR15,cervicalspine,Rate 1: All patients experiencing at least one complication within 90 days postoperative cervical spine surgery. 
AJRR15,lumbarspine,Rate 2: All patients experiencing at least one complication within 90 days postoperative  lumbar spine surgery.
AJRR16,hip,Rate 1: represents total hip arthroplasty
AJRR16,knee,Rate 2: represents total knee arthroplasty.
AJRR17,neckpain,"Rate 1: Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in neck pain."
AJRR17,backpain,"Rate 2: Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in back pain."
AJRR17,legpain,"Rate 3: Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID) in leg pain."
AJRR7,hip,Rate 1: represents total hip arthroplasty
AJRR7,knee,Rate 2: represents total knee arthroplasty.
AJRR9,hip,Rate 1: represents total hip arthroplasty
AJRR9,knee,Rate 2: represents total knee arthroplasty.
AQI48,surveyed,"Rate 1: AQI48a, percentage of surgical patients who receive a survey of their experience with anesthesia care."
AQI48,overall,"Rate 2: AQI48b, percentage of surgical patients who report a positive experience with anesthesia care."
AQI71,overall,"Rate 1: The overall measure score will be calculated as an average of the performance rates of parts A, B, C and D. (Rates 2, 3, 4 & 5) "
AQI71,testedPrior,"Rate 2:  Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery whose blood glucose level is tested prior to the start of anesthesia"
AQI71,insulinPerioperative,"Rate 3:  Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level greater than 180 mg/dL (10.0 mmol/L) who received insulin prior to anesthesia end time"
AQI71,"followupTest","Rate 4:  Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who received insulin perioperatively and who received a follow-up blood glucose level check following the administration of insulin and prior to discharge"
AQI71,glucoseEducation,"Rate 5:  Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level greater than 180 mg/dL (10.0 mmol/L) who received education on managing their glucose in the postoperative period prior to discharge"
AQI80,buprenorphine,Rate 1: Patients who received a continuation of buprenorphine during their inpatient stay.  
AQI80,methadone,"Rate 2: Patients whose Methadone therapy is continued or changed to an equivalent IV dose to maintain the therapeutic level regimen during the perioperative period or, if in an ambulatory setting, methadone was provided as scheduled prior to surgery.  "
GIQIC23,overall,Rate 1: Overall percentage of procedures among average-risk patients aged 45 to 75 years receiving a screening colonoscopy with biopsy or polypectomy and pathology findings who had a follow-up interval consistent with US Multi-Society Task Force (USMSTF) recommendations for repeat colonoscopy documented in their colonoscopy report
GIQIC23,hyperPolyps&FollowUp,Rate 2: Percentage of complete and adequately prepped screening colonoscopies of average-risk patients aged 45 to 75 years with biopsy or polypectomy and pathology findings of only hyperplastic polyps for which a recommended follow-up interval of 10 years for repeat colonoscopy was given to the patient
