QCDR Vendor ID,QCDR Organization Name,Measure ID,Measure Title,Measure Description,NQS Domain,Numerator,Denominator,Denominator Exclusions,Denominator Exceptions,Numerator Exclusion,Number of performance rates to be included in the XML,"Indicate an Overall Performance Rate if more than 1 performance rate is to be submitted
Specify which rate will represent an overall performance rate for the measure or how an overall performance rate could be calculated based on the data submitted in the XML [for example, simple average of the performance rates submitted or weighted average (sum the numerators divided by the sum of the denominators), etc].",Measure Types,High Priority,Outcome,Inverse Measure (Y/N),Proportional Measure (Y/N),Continuous Variable Measure (Y/N),Ratio Measure (Y/N),Risk-Adjusted (Y/N),Is accepted by more than one QCDR,Primary Steward
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI2,Asthma: Assessment of Asthma Control – Ambulatory Care Setting,Percentage of patients aged 5 years and older with a diagnosis of asthma who were evaluated at least once during the measurement period for asthma control (comprising asthma impairment and asthma risk). National Quality Strategy Domain: Effective Clinical Care Process Measure,Effective Clinical Care,Patients who were evaluated at least once during the measurement period for asthma control.,All patients aged 5 years and older with a diagnosis of asthma.,None,None,None,1,N/A,Process,,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI5,Allergen Immunotherapy Treatment: Allergen Specific Immunoglobulin E (IgE) Sensitivity Assessed and Documented Prior to Treatment,Percentage of patients aged 5 years and older who were assessed for IgE sensitivity to allergens prior to initiating allergen immunotherapy AND results documented in the medical record.National Quality Strategy Domain: Patient Safety Process Measure,Patient Safety,Patients who were assessed and had documentation of IgE sensitivity to allergens in the allergen immunotherapy prescription prior to initiating allergen immunotherapy.,Patients aged 5 years and older who initiated allergen immunotherapy during the reporting period.,None,None,None,1,N/A,Process,High Priority,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI6,Documentation of Clinical Response to Allergen Immunotherapy within One Year,Percentage of patients aged 5 years and older who were evaluated for clinical improvement and efficacy within one year after initiating allergen immunotherapy AND assessment documented in the medical record. National Quality Strategy Domain: Communication and Care Coordination Process Measure,Communication and Care Coordination,Patients who were evaluated for clinical improvement and efficacy at least once within the first year of treatment with assessment documented in the medical record.,All patients aged 5 years and older who initiated allergen immunotherapy within one year prior to the date of encounter.,"Patients who, at any point, discontinued the allergen immunotherapy regimen in the twelve months after initiation.",None,None,1,N/A,Process,High Priority,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI8,Achievement of Projected Effective Dose of Standardized Allergens for Patient Treated With Allergen Immunotherapy for at Least One Year,"Proportion of patients receiving subcutaneous allergen immunotherapy that contains at least one standardized extract (mite, ragweed, grass, and/or cat) who achieved the projected effective dose for all included standardized allergen extract(s) after at least one year of treatment. National Quality Strategy Domain: Effective Clinical Care Outcome Measure ",Effective Clinical Care,Patients who achieved the projected effective dose for all standardized extracts included in the prescription.,All patients aged 5 years and older who received subcutaneous allergen immunotherapy for at least one year containing at least one standardized antigen.,None,"1. Documentation of medical reasons for not achieving the projected effective dose such as local or systemic reactions, interruptions in therapy due to co-morbid conditions (e.g. pregnancy) or patient intolerance to the projected effective dose.

2. Documentation of patient reason(s) for not achieving the projected effective dose such as interruptions in therapy due to noncompliance.

3. Patients  receiving allergen immunotherapy prescribed and prepared by eligible professional by an outside entity (providing supervision only)",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI9,Assessment of Asthma Symptoms Prior to Administration of Allergen Immunotherapy Injection(s),Percentage of patients aged 5 years and older with a diagnosis of asthma who are receiving subcutaneous allergen immunotherapy with a documented assessment of asthma symptoms prior to administration of allergen immunotherapy injections. National Quality Strategy Domain: Patient Safety Process Measure,Patient Safety,Patients with documentation of an asthma symptom assessment prior to administration of allergen immunotherapy injection(s).,All patients aged 5 years and older with a diagnosis of asthma AND who are receiving subcutaneous allergen immunotherapy.,None,None,None,1,N/A,Process,,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI11,Asthma Assessment and Classification,Percentage of patients aged 5 years and older with asthma and documentation of an asthma assessment and classification. National Quality Strategy Domain: Effective Clinical Care Process Measure,Effective Clinical Care,Patients aged 5 years and older with a diagnosis of asthma and documentation of an asthma assessment and classification.,Patients aged 5 years and older with a documented diagnosis of asthma.,None,None,None,1,N/A,Process,,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI12,Lung Function/Spirometry Evaluation,Percentage of patients aged 5 years and older with asthma and documentation of a spirometry evaluation. National Quality Strategy Domain: Effective Clinical Care Process Measure ,Effective Clinical Care,"Patients aged 5 years and older with a diagnosis of asthma and documentation of a spirometry evaluation, unless a physical inability exists.",Patients aged 5 years and older with a documented diagnosis of asthma.,None,None,None,1,N/A,Process,High Priority,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI17,Asthma Control: Minimal Important Difference Improvement,"Percentage of patients aged 12 years and older whose asthma is not well-controlled as indicated by the Asthma Control Test, Asthma Control Questionnaire, or Asthma Therapy Assessment Questionnaire and who demonstrated a minimal important difference improvement upon a subsequent office visit during the 12-month reporting period. National Quality Strategy Domain: Person and Caregiver-Centered Experience and Outcomes Outcome Measure ",Person and Caregiver-Centered Experience and Outcomes,"Patients who demonstrate a minimal important difference (MID) improvement using one of the following three asthma assessment patient-completed questionnaires:<ul> 
 <li>Change in the Asthma Control Test (ACT) by &ge; 3 points Change in Asthma Control Questionnaire (ACQ) by &ge; 0.5 points Change in Asthma Therapy Assessment Questionnaire (ATAQ) by &ge; 1 point","All patients aged 12 years or older whose asthma is not well-controlled and who had at least one follow-up ACT, ACQ, or ATAQ within the 12-month reporting period. ",Patients with a diagnosis of COPD.,"
• Medical reason(s) for patient not demonstrating MID improvement (e.g., respiratory infection within 4 weeks of follow-up visit).
",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI18,Penicillin Allergy: Appropriate Removal or Confirmation,"Percentage of patients, regardless of age, with a primary diagnosis of penicillin or ampicillin/amoxicillin allergy, who underwent elective skin testing or antibiotic challenge that resulted in the removal of the penicillin or ampicillin/amoxicillin allergy label from the medical record if negative or confirmation of the penicillin or ampicillin/amoxicillin allergy label if positive. National Quality Strategy Domain: Communication and Care Coordination Outcome Measure ",Communication and Care Coordination,Patients who underwent elective skin testing or penicillin challenge AND who had the penicillin or ampicillin/amoxicillin allergy label removed from the medical record if results were negative or confirmed in the medical record if results were positive.,"All patients, regardless of age, with a diagnosis of primary penicillin or ampicillin/amoxicillin allergy seen during the reporting period. ",Patients with a diagnosis of Steven-John Syndrome or Serum-Sickness.,"1. Medical reason(s) for not documenting and reviewing results (e.g., previous positive penicillin skin test, patients with severe anaphylaxis to penicillin within the past 5 years, patients with penicillin reaction histories consistent with severe non-IgE-mediated reactions, significant comorbid disease and patients unable to discontinue medications with antihistaminic effects or beta-blockers).
2. Patient reason(s) for not documenting and reviewing results (e.g., patients who decline or are non-adherent with skin testing/challenge recommendations)",None,1,N/A,Outcome,High Priority,Outcome,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
6273354,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc.",AAAAI19,Asthma: Pharmacologic Therapy for Persistent Asthma – Ambulatory Care Setting,"Percentage of patients aged 5 years and older with a diagnosis of persistent asthma who were prescribed long-term control medication

This measure will be calculated with three rates:

Rate 1: Patients prescribed inhaled corticosteroids (ICS) as their long-term control medication 
Rate 2: Patients prescribed alternative long-term control medications (non-ICS) 
Rate 3: Total patients prescribed long-term control medication 
",Effective Clinical Care,Patients who were prescribed long-term control medication.,All patients aged 5 years and older with a diagnosis of persistent asthma.,None,"Patient reason(s) documented for not prescribing long-term control medication (e.g., patient declined, other patient reason)",None,3,3,Process,,,N,Y,N,N,N,No,"AAAAI American Academy of Allergy, Asthma, and Immunology Quality Clinical Data Registry Powered by Premier, Inc."
